,domain,category
0,standwithraul.com,news
1,jenniferwexton.com,news
2,kustoffforcongress.com,news
3,americanbanker.com,news
4,cbssports.com,news
5,wextonforstatesenate.com,news
6,marktakano.com,news
7,fredericawilsonforcongress.com,news
8,harvard.edu,news
9,nationalgeographic.com,news
10,wildforcongress.com,news
11,kusterforcongress.com,news
12,insurancenewsnet.com,news
13,healthcareitnews.com,news
14,udel.edu,news
15,utm.edu,news
16,standwithjackie.com,news
17,usf.edu,news
18,csce.gov,other_third_party
19,mbda.gov,other_third_party
20,tamu.edu,news
21,safetyandhealthmagazine.com,news
22,commerce.gov,other_third_party
23,warsawsecurityforum.org,news
24,wilsoncenter.org,news
25,stennis.gov,other_third_party
26,uic.edu,news
27,bluevirginia.us,news
28,arizona.edu,news
29,publicintegrity.org,news
30,bisnow.com,news
31,byu.edu,news
32,washington.edu,news
33,uab.edu,news
34,ucsc.edu,news
35,issueone.org,news
36,berkeley.edu,news
37,altamontenterprise.com,news
38,savingplaces.org,news
39,asu.edu,news
40,architecturaldigest.com,news
41,wnyschools.net,news
42,fyimusicnews.ca,news
43,mklawgroup.com,news
44,reversemortgagedaily.com,news
45,nih.gov,other_third_party
46,wayne.edu,news
47,soundviewmedicalgroup.com,news
48,mit.edu,news
49,healthcarefinancenews.com,news
50,fastcompany.com,news
51,nationalmortgagenews.com,news
52,apts.org,news
53,wakehealth.edu,education
54,homehealthcarenews.com,news
55,downtownlincoln.org,news
56,rfriedmanlawgroup.com,news
57,uga.edu,news
58,floridarealtymarketplace.com,news
59,movingwithmoe.com,news
60,aviationpros.com,news
61,combatveteransforcongress.org,news
62,ucsf.edu,news
63,architectmagazine.com,news
64,photoimagined.com,news
65,tomreedlaw.com,other_third_party
66,rbcwealthmanagement.com,news
67,davidscottviolin.com,news
68,trumptowerny.com,news
69,psu.edu,news
70,roselawgroupreporter.com,news
71,legalnewsline.com,news
72,hudson.k12.oh.us,news
73,wilsonharrell-law.com,news
74,meadowhillsdental.com,news
75,beveragejournalinc.com,news
76,independent.org,news
77,calvinayre.com,news
78,arizonalawgroup.com,news
79,csun.edu,news
80,medstarhealth.org,news
81,bsu.edu,news
82,nccu.edu,news
83,counselingwithanne.com,news
84,garylawgroup.com,news
85,longviewfuneralhome.com,news
86,nighlawgroup.com,news
87,newyorklawgroup.com,news
88,plu.edu,news
89,brownstoner.com,news
90,stvincenthospital.com,news
91,valleygammaknife.com,news
92,hudsonprimarycare.net,news
93,scottconstructionpros.com,news
94,springmeadowecc.org,education
95,realtorfreduriot.com,education
96,newstalk1290.com,news
97,southwestern.edu,news
98,wevoteeducation.org,news
99,dentistrywithtlc.net,news
100,tristarhealth.com,news
101,kigginstheatre.com,news
102,wikipedia.org,other_third_party
103,house.gov,gov
104,twitter.com,social
105,ballotpedia.org,other_third_party
106,govtrack.us,other_third_party
107,facebook.com,social
108,congress.gov,gov
109,politico.com,news
110,cnn.com,news
111,nytimes.com,news
112,thehill.com,news
113,texastribune.org,news
114,nbcnews.com,news
115,rollcall.com,news
116,c-span.org,news
117,youtube.com,social
118,washingtonpost.com,news
119,gop.gov,gov
120,opensecrets.org,other_third_party
121,apnews.com,news
122,newsweek.com,news
123,go.com,other_third_party
124,floridapolitics.com,news
125,latimes.com,news
126,cbslocal.com,news
127,foxnews.com,news
128,wsj.com,news
129,time.com,news
130,npr.org,news
131,patch.com,news
132,dallasnews.com,news
133,chicagotribune.com,news
134,usatoday.com,news
135,azcentral.com,news
136,cq.com,other_third_party
137,propublica.org,news
138,wbur.org,news
139,businessinsider.com,news
140,suntimes.com,news
141,vox.com,news
142,houstonchronicle.com,news
143,cnbc.com,news
144,bostonglobe.com,news
145,theguardian.com,news
146,nypost.com,news
147,yahoo.com,news
148,tampabay.com,news
149,sun-sentinel.com,news
150,axios.com,news
151,inquirer.com,news
152,pbs.org,news
153,cityandstateny.com,news
154,eenews.net,news
155,insidernj.com,news
156,kansascity.com,news
157,nymag.com,news
158,startribune.com,news
159,spectrumlocalnews.com,news
160,spectrumnews1.com,news
161,billtrack50.com,other_third_party
162,wamc.org,news
163,cleveland.com,news
164,theintercept.com,news
165,bloomberg.com,news
166,nj.com,news
167,votesmart.org,other_third_party
168,ocregister.com,news
169,newyorker.com,news
170,azpbs.org,news
171,usnews.com,news
172,cbsnews.com,news
173,post-gazette.com,news
174,bostonherald.com,news
175,dailyherald.com,news
176,sfchronicle.com,news
177,nydailynews.com,news
178,postandcourier.com,news
179,theatlantic.com,news
180,cpr.org,news
181,msnbc.com,news
182,ajc.com,news
183,fortune.com,news
184,mlive.com,news
185,seattletimes.com,news
186,orlandosentinel.com,news
187,al.com,news
188,maryland.gov,gov
189,newsday.com,news
190,rollingstone.com,news
