"location","hits","keyword","geo","gprop"
"Alaska",100,"Don Young","US","web"
"District of Columbia",6,"Don Young","US","web"
"Washington",3,"Don Young","US","web"
"Maryland",2,"Don Young","US","web"
"Oklahoma",2,"Don Young","US","web"
"Montana",2,"Don Young","US","web"
"Virginia",2,"Don Young","US","web"
"Rhode Island",1,"Don Young","US","web"
"Oregon",1,"Don Young","US","web"
"New Hampshire",1,"Don Young","US","web"
"Connecticut",1,"Don Young","US","web"
"Minnesota",1,"Don Young","US","web"
"Arkansas",1,"Don Young","US","web"
"Texas",1,"Don Young","US","web"
"New Jersey",1,"Don Young","US","web"
"Alabama",1,"Don Young","US","web"
"Nevada",1,"Don Young","US","web"
"Georgia",1,"Don Young","US","web"
"Massachusetts",1,"Don Young","US","web"
"New York",1,"Don Young","US","web"
"Kentucky",1,"Don Young","US","web"
"California",1,"Don Young","US","web"
"North Carolina",1,"Don Young","US","web"
"Iowa",1,"Don Young","US","web"
"Illinois",1,"Don Young","US","web"
"Colorado",1,"Don Young","US","web"
"Ohio",1,"Don Young","US","web"
"Nebraska",1,"Don Young","US","web"
"Florida",1,"Don Young","US","web"
"Louisiana",1,"Don Young","US","web"
"Arizona",1,"Don Young","US","web"
"Indiana",1,"Don Young","US","web"
"Pennsylvania",1,"Don Young","US","web"
"South Carolina",1,"Don Young","US","web"
"Tennessee",1,"Don Young","US","web"
"New Mexico",1,"Don Young","US","web"
"Missouri",1,"Don Young","US","web"
"Utah",1,"Don Young","US","web"
"Wisconsin",1,"Don Young","US","web"
"Kansas",1,"Don Young","US","web"
"Michigan",1,"Don Young","US","web"
"Mississippi",NA,"Don Young","US","web"
"South Dakota",NA,"Don Young","US","web"
"North Dakota",NA,"Don Young","US","web"
"Maine",NA,"Don Young","US","web"
"Idaho",NA,"Don Young","US","web"
"Vermont",NA,"Don Young","US","web"
"Hawaii",NA,"Don Young","US","web"
"Delaware",NA,"Don Young","US","web"
"West Virginia",NA,"Don Young","US","web"
"Wyoming",NA,"Don Young","US","web"
"Florida",100,"Vern Buchanan","US","web"
"Alaska",NA,"Vern Buchanan","US","web"
"Wyoming",NA,"Vern Buchanan","US","web"
"Arizona",NA,"Vern Buchanan","US","web"
"California",NA,"Vern Buchanan","US","web"
"Colorado",NA,"Vern Buchanan","US","web"
"Connecticut",NA,"Vern Buchanan","US","web"
"District of Columbia",NA,"Vern Buchanan","US","web"
"Delaware",NA,"Vern Buchanan","US","web"
"Alabama",NA,"Vern Buchanan","US","web"
"Georgia",NA,"Vern Buchanan","US","web"
"Hawaii",NA,"Vern Buchanan","US","web"
"Iowa",NA,"Vern Buchanan","US","web"
"Idaho",NA,"Vern Buchanan","US","web"
"Illinois",NA,"Vern Buchanan","US","web"
"Indiana",NA,"Vern Buchanan","US","web"
"Kansas",NA,"Vern Buchanan","US","web"
"Kentucky",NA,"Vern Buchanan","US","web"
"Louisiana",NA,"Vern Buchanan","US","web"
"Massachusetts",NA,"Vern Buchanan","US","web"
"Maryland",NA,"Vern Buchanan","US","web"
"Maine",NA,"Vern Buchanan","US","web"
"Michigan",NA,"Vern Buchanan","US","web"
"Minnesota",NA,"Vern Buchanan","US","web"
"Missouri",NA,"Vern Buchanan","US","web"
"Mississippi",NA,"Vern Buchanan","US","web"
"Montana",NA,"Vern Buchanan","US","web"
"North Carolina",NA,"Vern Buchanan","US","web"
"North Dakota",NA,"Vern Buchanan","US","web"
"Nebraska",NA,"Vern Buchanan","US","web"
"New Hampshire",NA,"Vern Buchanan","US","web"
"New Jersey",NA,"Vern Buchanan","US","web"
"New Mexico",NA,"Vern Buchanan","US","web"
"Nevada",NA,"Vern Buchanan","US","web"
"New York",NA,"Vern Buchanan","US","web"
"Ohio",NA,"Vern Buchanan","US","web"
"Oklahoma",NA,"Vern Buchanan","US","web"
"Oregon",NA,"Vern Buchanan","US","web"
"Pennsylvania",NA,"Vern Buchanan","US","web"
"Rhode Island",NA,"Vern Buchanan","US","web"
"South Carolina",NA,"Vern Buchanan","US","web"
"South Dakota",NA,"Vern Buchanan","US","web"
"Tennessee",NA,"Vern Buchanan","US","web"
"Texas",NA,"Vern Buchanan","US","web"
"Utah",NA,"Vern Buchanan","US","web"
"Virginia",NA,"Vern Buchanan","US","web"
"Vermont",NA,"Vern Buchanan","US","web"
"Washington",NA,"Vern Buchanan","US","web"
"Wisconsin",NA,"Vern Buchanan","US","web"
"West Virginia",NA,"Vern Buchanan","US","web"
"Arkansas",NA,"Vern Buchanan","US","web"
"Florida",100,"Greg Steube","US","web"
"Alaska",NA,"Greg Steube","US","web"
"Wyoming",NA,"Greg Steube","US","web"
"Arizona",NA,"Greg Steube","US","web"
"California",NA,"Greg Steube","US","web"
"Colorado",NA,"Greg Steube","US","web"
"Connecticut",NA,"Greg Steube","US","web"
"District of Columbia",NA,"Greg Steube","US","web"
"Delaware",NA,"Greg Steube","US","web"
"Alabama",NA,"Greg Steube","US","web"
"Georgia",NA,"Greg Steube","US","web"
"Hawaii",NA,"Greg Steube","US","web"
"Iowa",NA,"Greg Steube","US","web"
"Idaho",NA,"Greg Steube","US","web"
"Illinois",NA,"Greg Steube","US","web"
"Indiana",NA,"Greg Steube","US","web"
"Kansas",NA,"Greg Steube","US","web"
"Kentucky",NA,"Greg Steube","US","web"
"Louisiana",NA,"Greg Steube","US","web"
"Massachusetts",NA,"Greg Steube","US","web"
"Maryland",NA,"Greg Steube","US","web"
"Maine",NA,"Greg Steube","US","web"
"Michigan",NA,"Greg Steube","US","web"
"Minnesota",NA,"Greg Steube","US","web"
"Missouri",NA,"Greg Steube","US","web"
"Mississippi",NA,"Greg Steube","US","web"
"Montana",NA,"Greg Steube","US","web"
"North Carolina",NA,"Greg Steube","US","web"
"North Dakota",NA,"Greg Steube","US","web"
"Nebraska",NA,"Greg Steube","US","web"
"New Hampshire",NA,"Greg Steube","US","web"
"New Jersey",NA,"Greg Steube","US","web"
"New Mexico",NA,"Greg Steube","US","web"
"Nevada",NA,"Greg Steube","US","web"
"New York",NA,"Greg Steube","US","web"
"Ohio",NA,"Greg Steube","US","web"
"Oklahoma",NA,"Greg Steube","US","web"
"Oregon",NA,"Greg Steube","US","web"
"Pennsylvania",NA,"Greg Steube","US","web"
"Rhode Island",NA,"Greg Steube","US","web"
"South Carolina",NA,"Greg Steube","US","web"
"South Dakota",NA,"Greg Steube","US","web"
"Tennessee",NA,"Greg Steube","US","web"
"Texas",NA,"Greg Steube","US","web"
"Utah",NA,"Greg Steube","US","web"
"Virginia",NA,"Greg Steube","US","web"
"Vermont",NA,"Greg Steube","US","web"
"Washington",NA,"Greg Steube","US","web"
"Wisconsin",NA,"Greg Steube","US","web"
"West Virginia",NA,"Greg Steube","US","web"
"Arkansas",NA,"Greg Steube","US","web"
"Florida",100,"Brian Mast","US","web"
"District of Columbia",64,"Brian Mast","US","web"
"Virginia",6,"Brian Mast","US","web"
"Colorado",6,"Brian Mast","US","web"
"Maryland",5,"Brian Mast","US","web"
"Washington",4,"Brian Mast","US","web"
"Ohio",4,"Brian Mast","US","web"
"Illinois",3,"Brian Mast","US","web"
"New York",2,"Brian Mast","US","web"
