domain,counts,news,education,social,gov,campaign_personal,other_third_party,categories_flagged,matched,title
twitter.com,69176049,0,0,1,0,0,0,1,1,NA
house.gov,37807826,0,0,0,1,0,0,1,1,NA
wikipedia.org,20361206,0,0,0,0,0,1,1,1,NA
ballotpedia.org,18272995,0,0,0,0,0,1,1,1,NA
govtrack.us,16055696,0,0,0,0,0,1,1,1,govtrack.us: tracking the u.s. congress
facebook.com,15806400,0,0,1,0,0,0,1,1,NA
congress.gov,14701519,0,0,0,1,0,0,1,1,NA
youtube.com,3969959,0,0,1,0,0,0,1,1,NA
politico.com,2371978,1,0,0,0,0,0,1,1,NA
texastribune.org,1991478,1,0,0,0,0,0,1,1,NA
nytimes.com,1766857,1,0,0,0,0,0,1,1,NA
gop.gov,1576475,0,0,0,1,0,0,1,1,NA
thehill.com,1342606,1,0,0,0,0,0,1,1,NA
washingtonpost.com,1175540,1,0,0,0,0,0,1,1,NA
cnn.com,1105608,1,0,0,0,0,0,1,1,NA
rollcall.com,1022686,1,0,0,0,0,0,1,1,NA
opensecrets.org,916820,0,0,0,0,0,1,1,1,opensecrets
foxnews.com,892915,1,0,0,0,0,0,1,1,NA
newsweek.com,824565,1,0,0,0,0,0,1,1,NA
cq.com,813229,0,0,0,0,0,1,1,1,cq
floridapolitics.com,807512,1,0,0,0,0,0,1,1,NA
cbslocal.com,793787,1,0,0,0,0,0,1,1,NA
c-span.org,660181,1,0,0,0,0,0,1,1,NA
patch.com,596159,1,0,0,0,0,0,1,1,NA
apnews.com,556577,1,0,0,0,0,0,1,1,NA
nbcnews.com,492336,1,0,0,0,0,0,1,1,NA
latimes.com,478130,1,0,0,0,0,0,1,1,NA
votesmart.org,384384,0,0,0,0,0,1,1,1,vote smart
insidernj.com,377205,1,0,0,0,0,0,1,1,insider nj - news for political insiders in new jersey
wsj.com,352859,1,0,0,0,0,0,1,1,NA
law360.com,350966,1,0,0,0,0,0,1,1,"legal news & analysis on litigation, policy, deals : law360"
houstonchronicle.com,350153,1,0,0,0,0,0,1,1,NA
alreporter.com,345468,1,0,0,0,0,0,1,1,NA
yahoo.com,340094,1,0,0,0,0,0,1,1,NA
azcentral.com,335690,1,0,0,0,0,0,1,1,NA
chicagotribune.com,335331,1,0,0,0,0,0,1,1,NA
marijuanamoment.net,332233,1,0,0,0,0,0,1,1,"marijuana moment - all your cannabis news, in one place"
spectrumnews1.com,327318,1,0,0,0,0,0,1,1,NA
dallasnews.com,308434,1,0,0,0,0,0,1,1,NA
go.com,295607,0,0,0,0,0,1,1,1,go.com | the walt disney company 
cleveland.com,288532,1,0,0,0,0,0,1,1,NA
nj.com,284305,1,0,0,0,0,0,1,1,NA
ocregister.com,276843,1,0,0,0,0,0,1,1,NA
detroitnews.com,267107,1,0,0,0,0,0,1,1,NA
suntimes.com,247560,1,0,0,0,0,0,1,1,NA
eenews.net,246771,1,0,0,0,0,0,1,1,NA
startribune.com,238216,1,0,0,0,0,0,1,1,NA
npr.org,236505,1,0,0,0,0,0,1,1,NA
thenevadaindependent.com,234299,1,0,0,0,0,0,1,1,the nevada independent - your state.  your news.  your voice.
mlive.com,229913,1,0,0,0,0,0,1,1,NA
tampabay.com,227606,1,0,0,0,0,0,1,1,NA
maryland.gov,227377,0,0,0,1,0,0,1,1,NA
cpr.org,217952,1,0,0,0,0,0,1,1,colorado public radio - colorado news you trust
jewishinsider.com,216092,1,0,0,0,0,0,1,1,NA
spectrumlocalnews.com,215577,1,0,0,0,0,0,1,1,NA
nypost.com,212667,1,0,0,0,0,0,1,1,NA
cnbc.com,212320,1,0,0,0,0,0,1,1,NA
jsonline.com,211640,1,0,0,0,0,0,1,1,NA
theintercept.com,206567,1,0,0,0,0,0,1,1,NA
theadvocate.com,202997,1,0,0,0,0,0,1,1,NA
inquirer.com,201015,1,0,0,0,0,0,1,1,"inquirer.com: philadelphia local news, sports, jobs, cars, homes"
usatoday.com,199839,1,0,0,0,0,0,1,1,NA
kansascity.com,192746,1,0,0,0,0,0,1,1,NA
cbsnews.com,188845,1,0,0,0,0,0,1,1,NA
ajc.com,186019,1,0,0,0,0,0,1,1,NA
post-gazette.com,185370,1,0,0,0,0,0,1,1,NA
newsday.com,183230,1,0,0,0,0,0,1,1,NA
yellowhammernews.com,182665,1,0,0,0,0,0,1,1,NA
postandcourier.com,182065,1,0,0,0,0,0,1,1,NA
lancasteronline.com,179471,1,0,0,0,0,0,1,1,NA
businessinsider.com,178936,1,0,0,0,0,0,1,1,NA
triblive.com,176881,1,0,0,0,0,0,1,1,NA
billtrack50.com,173230,0,0,0,0,0,1,1,1,billtrack50 | federal & state legislation tracker
newsobserver.com,165828,1,0,0,0,0,0,1,1,NA
dailyherald.com,163776,1,0,0,0,0,0,1,1,NA
usnews.com,163451,1,0,0,0,0,0,1,1,NA
propublica.org,163270,1,0,0,0,0,0,1,1,propublica — investigative journalism and news in the public interest
courthousenews.com,161355,1,0,0,0,0,0,1,1,NA
abc17news.com,159423,1,0,0,0,0,0,1,1,NA
statesman.com,159046,1,0,0,0,0,0,1,1,NA
forbes.com,157918,1,0,0,0,0,0,1,1,NA
coloradopolitics.com,155923,1,0,0,0,0,0,1,1,coloradopolitics.com | coloradopolitics.com
syracuse.com,150413,1,0,0,0,0,0,1,1,NA
civilbeat.org,145938,1,0,0,0,0,0,1,1,NA
deseret.com,144519,1,0,0,0,0,0,1,1,deseret news
nydailynews.com,143688,1,0,0,0,0,0,1,1,NA
thestate.com,141210,1,0,0,0,0,0,1,1,NA
masslive.com,139644,1,0,0,0,0,0,1,1,NA
reviewjournal.com,139634,1,0,0,0,0,0,1,1,NA
cityandstateny.com,139069,1,0,0,0,0,0,1,1,home | city & state new york
desmoinesregister.com,139018,1,0,0,0,0,0,1,1,NA
fresnobee.com,136500,1,0,0,0,0,0,1,1,NA
theguardian.com,136207,1,0,0,0,0,0,1,1,NA
omaha.com,135946,1,0,0,0,0,0,1,1,NA
oklahoman.com,135496,1,0,0,0,0,0,1,1,"the oklahoman: oklahoma city, oklahoma, news, politics and sports"
news4jax.com,129926,1,0,0,0,0,0,1,1,NA
