domain,category
house.gov,gov
twitter.com,social
wikipedia.org,other_third_party
ballotpedia.org,other_third_party
govtrack.us,other_third_party
facebook.com,social
congress.gov,gov
politico.com,news
texastribune.org,news
youtube.com,social
nytimes.com,news
gop.gov,gov
thehill.com,news
washingtonpost.com,news
cnn.com,news
rollcall.com,news
opensecrets.org,other_third_party
foxnews.com,news
cq.com,other_third_party
newsweek.com,news
cbslocal.com,news
c-span.org,news
floridapolitics.com,news
patch.com,news
apnews.com,news
nbcnews.com,news
latimes.com,news
votesmart.org,other_third_party
insidernj.com,news
wsj.com,news
yahoo.com,news
law360.com,news
marijuanamoment.net,news
chicagotribune.com,news
azcentral.com,news
houstonchronicle.com,news
go.com,other_third_party
spectrumnews1.com,news
dallasnews.com,news
nj.com,news
cleveland.com,news
ocregister.com,news
eenews.net,news
npr.org,news
detroitnews.com,news
suntimes.com,news
alreporter.com,news
maryland.gov,gov
startribune.com,news
mlive.com,news
spectrumlocalnews.com,news
cpr.org,news
theintercept.com,news
cnbc.com,news
jewishinsider.com,news
nypost.com,news
tampabay.com,news
usatoday.com,news
thenevadaindependent.com,news
theadvocate.com,news
inquirer.com,news
cbsnews.com,news
businessinsider.com,news
billtrack50.com,other_third_party
kansascity.com,news
jsonline.com,news
post-gazette.com,news
newsobserver.com,news
newsday.com,news
propublica.org,news
ajc.com,news
postandcourier.com,news
forbes.com,news
courthousenews.com,news
usnews.com,news
abc17news.com,news
civilbeat.org,news
nydailynews.com,news
dailyherald.com,news
cityandstateny.com,news
statesman.com,news
yellowhammernews.com,news
theguardian.com,news
coloradopolitics.com,news
triblive.com,news
desmoinesregister.com,news
fresnobee.com,news
syracuse.com,news
axios.com,news
myfloridahouse.gov,gov
lancasteronline.com,news
omaha.com,news
trackbill.com,other_third_party
azpbs.org,news
masslive.com,news
georgiarecorder.com,news
bgov.com,gov
thestate.com,news
time.com,news
sltrib.com,news
biography.com,other_third_party
dispatch.com,news
gazettextra.com,news
oklahoman.com,news
loc.gov,gov
deseret.com,news
timesunion.com,news
newjerseyglobe.com,news
wfmz.com,news
sfchronicle.com,news
bizjournals.com,news
minnpost.com,news
bostonglobe.com,news
baseball-reference.com,other_third_party
reviewjournal.com,news
thetexan.news,news
radio.com,news
state.pa.us,gov
tapinto.net,news
wbur.org,news
goldrushcam.com,news
baltimoresun.com,news
jewishvirtuallibrary.org,news
foxwilmington.com,news
baynews9.com,news
bostonherald.com,news
nextgov.com,news
sun-sentinel.com,news
11alive.com,news
foxbusiness.com,news
denverpost.com,news
bloomberglaw.com,news
ctinsider.com,news
miamiherald.com,news
vox.com,news
msnbc.com,news
erienewsnow.com,news
mcall.com,news
jimbanks.us,campaign_personal
nola.com,news
bigrapidsnews.com,news
wbtv.com,news
orlandosentinel.com,news
buzzfeednews.com,news
ktvz.com,news
jenniferwexton.com,campaign_personal
lasvegassun.com,news
mprnews.org,news
wamc.org,news
mlb.com,news
auburnpub.com,news
instagram.com,social
13newsnow.com,news
fox8.com,news
spokesman.com,news
michiganadvance.com,news
suozziforcongress.com,campaign_personal
bozemandailychronicle.com,news
wtvm.com,news
wright4congress.com,campaign_personal
kpbs.org,news
ny1.com,news
1011now.com,news
palmbeachpost.com,news
witn.com,news
stephaniemurphyforcongress.com,campaign_personal
news4jax.com,news
bangordailynews.com,news
espn.com,news
nysenate.gov,gov
cbssports.com,news
expressnews.com,news
michaelwaltz.com,campaign_personal
richmond.com,news
govinfo.gov,gov
wfmynews2.com,news
paynejr4congress.com,campaign_personal
ctmirror.org,news
ideastream.org,news
wshu.org,news
abc10.com,news
ttnews.com,news
charlotteobserver.com,news
tulsaworld.com,news
thecentersquare.com,news
bloomberg.com,news
abc7news.com,news
opb.org,news
seattletimes.com,news
ncleg.gov,gov
adamsmith.org,other_third_party
abc30.com,news
thedailybeast.com,news
marylandmatters.org,news
indystar.com,news
pennlive.com,news
stripes.com,news
xochforcongress.com,campaign_personal
courant.com,news
washingtonexaminer.com,news
kbtx.com,news
kentucky.com,news
wmur.com,news
modbee.com,news
electsmuckerpa.com,campaign_personal
netnebraska.org,news
khn.org,news
ketv.com,news
fedscoop.com,news
castenforcongress.com,campaign_personal
timesfreepress.com,news
arkansasonline.com,news
abc6onyourside.com,news
cbs4indy.com,news
republicanleader.gov,gov
susieleeforcongress.com,campaign_personal
wdam.com,news
nymag.com,news
houstonpublicmedia.org,news
heraldextra.com,news
britannica.com,other_third_party
toledoblade.com,news
courier-journal.com,news
gazette.com,news
govexec.com,news
wildforcongress.com,campaign_personal
kansas.com,news
kshb.com,news
wbrc.com,news
riograndeguardian.com,news
abc7chicago.com,news
marketwatch.com,news
agri-pulse.com,news
sanjosespotlight.com,news
nwaonline.com,news
heraldonline.com,news
reuters.com,news
voanews.com,news
broadbandbreakfast.com,news
ktar.com,news
unionleader.com,news
wabe.org,news
kiro7.com,news
azmirror.com,news
lucyforcongress.com,campaign_personal
nbcconnecticut.com,news
pix11.com,news
insurancenewsnet.com,news
keranews.org,news
almaadamsforcongress.com,campaign_personal
kcra.com,news
tallahassee.com,news
theherald-news.com,news
cisnerosforcongress.com,campaign_personal
wsiltv.com,news
ncpolicywatch.org,news
liherald.com,news
herald-review.com,news
fronterasdesk.org,news
shariceforcongress.com,campaign_personal
wftv.com,news
fox2now.com,news
homelandprepnews.com,news
abc27.com,news
al.com,news
kwch.com,news
chci.org,other_third_party
jimlangevin.com,campaign_personal
bemidjipioneer.com,news
buffalonews.com,news
graydc.com,news
electralphnorman.com,campaign_personal
cbs58.com,news
cincinnati.com,news
witf.org,news
wibw.com,news
wfmj.com,news
meritalk.com,news
greensboro.com,news
wflx.com,news
bethel.com,other_third_party
star-telegram.com,news
rollingstone.com,news
richardhudson.org,campaign_personal
mysuburbanlife.com,news
theroot.com,news
actionnewsjax.com,news
santafenewmexican.com,news
clickondetroit.com,news
underwoodforcongress.com,campaign_personal
healthcareitnews.com,news
everythinglubbock.com,news
insidenova.com,news
nbcboston.com,news
txdirectory.com,other_third_party
nbc12.com,news
investopedia.com,other_third_party
wsls.com,news
oregonlive.com,news
jasoncrowforcongress.com,campaign_personal
colinallred.com,campaign_personal
sandiegouniontribune.com,news
daytondailynews.com,news
andykimforcongress.com,campaign_personal
northjersey.com,news
kjzz.org,news
koco.com,news
nmpoliticalreport.com,news
qctimes.com,news
dailynews.com,news
roanoke.com,news
localnews8.com,news
senate.gov,gov
freep.com,news
chrispappas.org,campaign_personal
adamschiff.com,campaign_personal
kmov.com,news
hollandsentinel.com,news
congressionalsportsmen.org,other_third_party
lizziefletcher.com,campaign_personal
morningconsult.com,news
djournal.com,news
dtnpf.com,news
penncapital-star.com,news
mynews13.com,news
ilhanomar.com,campaign_personal
hoyerforcongress.com,campaign_personal
kcrg.com,news
nealdunn.com,campaign_personal
wtvq.com,news
kuow.org,news
phillipsforcongress.org,campaign_personal
hometownsource.com,news
fox56.com,news
ky3.com,news
state.nv.us,gov
tribdem.com,news
thefencepost.com,news
nealforcongress.com,campaign_personal
wbir.com,news
andylevinforcongress.com,campaign_personal
bakersfield.com,news
larsonforcongress.org,campaign_personal
theeagle.com,news
wvmetronews.com,news
donaldnorcrossforcongress.com,campaign_personal
miketurner.com,campaign_personal
speaker.gov,gov
wsvn.com,news
kustoffforcongress.com,campaign_personal
noozhawk.com,news
komu.com,news
johnrose.com,campaign_personal
electjimbaird.com,campaign_personal
crenshawforcongress.com,campaign_personal
majorityleader.gov,gov
wyff4.com,news
prnewswire.com,news
kbia.org,news
abcactionnews.com,news
anthonybrown.com,campaign_personal
brettguthrie.com,campaign_personal
simpsonforcongress.com,campaign_personal
heraldmailmedia.com,news
brindisiforcongress.com,campaign_personal
mikethompsonforcongress.com,campaign_personal
dwightevans.com,campaign_personal
meetrickcrawford.com,campaign_personal
fredkellerforcongress.com,campaign_personal
tribstar.com,news
thegazette.com,news
morgangriffithforcongress.com,campaign_personal
defazioforcongress.org,campaign_personal
bucshonforcongress.com,campaign_personal
karenbass.com,campaign_personal
katieporter.com,campaign_personal
bobgibbsforcongress.com,campaign_personal
pallonefornewjersey.com,campaign_personal
barbaraleeforcongress.org,campaign_personal
themobmuseum.org,other_third_party
joecunninghamforcongress.com,campaign_personal
joinpaulcook.com,campaign_personal
chuckforcongress.com,campaign_personal
eliseforcongress.com,campaign_personal
standwithraul.com,campaign_personal
jimmcgovern.com,campaign_personal
clyburnforcongress.com,campaign_personal
mikeonline.com,news
cathyforcongress.com,campaign_personal
jamieraskin.com,campaign_personal
adn.com,news
gallegoforarizona.com,campaign_personal
voteboyle.com,campaign_personal
jerrynadler.com,campaign_personal
cicilline.com,campaign_personal
mikeforwisconsin.com,campaign_personal
chelliepingree.com,campaign_personal
stantonforarizona.com,campaign_personal
victoriaadvocate.com,news
billfoster.com,campaign_personal
gwenmooreforcongress.com,campaign_personal
patriotsforperry.com,campaign_personal
kellyformississippi.com,campaign_personal
yarmuthforcongress.com,campaign_personal
bradyforcongress.com,campaign_personal
pocanforcongress.com,campaign_personal
calvertforcongress.com,campaign_personal
carolynmaloney.com,campaign_personal
sanfordbishop.com,campaign_personal
friendsofglennthompson.com,campaign_personal
michaelmccaul.com,campaign_personal
marktakano.com,news
virginiafoxx.com,campaign_personal
jimmypanetta.com,campaign_personal
friendsofdonbeyer.com,campaign_personal
burchettforcongress.com,campaign_personal
donjbacon.com,campaign_personal
jahanahayes.com,campaign_personal
napolitanoforcongress.com,campaign_personal
lisabluntrochester.com,campaign_personal
garretgraves.com,campaign_personal
motherjones.com,news
janschakowsky.org,campaign_personal
bonnieforcongress.com,campaign_personal
joecourtney.com,campaign_personal
electadam.com,campaign_personal
vickyhartzler.com,campaign_personal
mchenryforcongress.com,campaign_personal
bostforcongress.com,campaign_personal
energy.gov,gov
donaldmceachin.com,campaign_personal
joeneguseforcongress.com,campaign_personal
lambornforcongress.org,campaign_personal
palmerforalabama.com,campaign_personal
alceeforcongress.com,campaign_personal
loucorrea.com,campaign_personal
lahoodforcongress.com,campaign_personal
allmusic.com,other_third_party
jimmygomezforcongress.com,campaign_personal
stevestivers.com,campaign_personal
bencline.com,campaign_personal
pbs.org,news
cartwrightcongress.com,campaign_personal
bonamiciforcongress.com,campaign_personal
