"domain","title"
"ballotpedia.org",NA
"govtrack.us","GovTrack.us: Tracking the U.S. Congress"
"opensecrets.org","OpenSecrets"
"go.com","Go.com | The Walt Disney Company "
"cq.com","CQ"
"propublica.org","ProPublica — Investigative Journalism and News in the Public Interest"
"insidernj.com","Insider NJ - News for Political Insiders in New Jersey"
"axios.com",NA
"billtrack50.com","BillTrack50 | Federal & State Legislation Tracker"
"inquirer.com","Inquirer.com: Philadelphia local news, sports, jobs, cars, homes"
"votesmart.org","Vote Smart"
"cpr.org","Colorado Public Radio - Colorado News You Trust"
"cityandstateny.com","Home | City & State New York"
"law360.com","Legal News & Analysis on Litigation, Policy, Deals : Law360"
"azpbs.org","Home - Arizona PBS"
"marijuanamoment.net","Marijuana Moment - All your cannabis news, in one place"
"state.pa.us",NA
"newjerseyglobe.com","New Jersey Globe - Political News"
"thenevadaindependent.com","The Nevada Independent - Your state.  Your news.  Your voice."
"jewishvirtuallibrary.org","Jewish Virtual Library"
"coloradopolitics.com","coloradopolitics.com | coloradopolitics.com"
"britannica.com","Encyclopedia Britannica | Britannica"
"blackpast.org","Welcome to Blackpast •"
"trackbill.com","State and Federal Legislative Tracking | TrackBill"
"oklahoman.com","The Oklahoman: Oklahoma City, Oklahoma, News, Politics and Sports"
"ourcampaigns.com","Our Campaigns Home Page"
"chci.org","   
                        Homepage - CHCI
                "
"wpr.org","Home - WPR"
"biography.com","Biography: Historical and Celebrity Profiles"
"deseret.com","Deseret News"
"ctmirror.org","CT Mirror: Connecticut News and In-Depth Reporting"
"bgov.com","Bloomberg Government"
"timesofsandiego.com","Times of San Diego :: Local News and Opinion for San Diego, California"
"tapinto.net",NA
"baseball-reference.com","MLB Stats, Scores, History, & Records | Baseball-Reference.com"
"blackeconomicalliance.org","Homepage - Black Economic Alliance"
"graydc.com","Top Stories"
"georgiarecorder.com","Home • Georgia Recorder"
"njspotlight.com",NA
"jimbanks.us","Jim Banks for Senate - Jim Banks for Senate"
"michaelwaltz.com","Michael Waltz - U.S. Congress"
"kshb.com","KSHB 41 Kansas City: News, Weather, Chiefs, Traffic and Sports"
"wikimedia.org","Wikimedia"
"txdirectory.com","Texas State Directory Online"
"goldrushcam.com","Sierra Sun Times - News Covering Mariposa and the foothills of California including Yosemite National Park"
