domain,counts_x,counts_y,top,label,note
twitter.com,187763559,185835040,0,no_news,
,175865830,,,no_news,
wikipedia.org,134581122,132922908,1,no_news,
house.gov,97860000,97065072,2,no_news,
ballotpedia.org,55589389,54992921,3,no_news,
govtrack.us,52948832,52410158,4,no_news,
congress.gov,39588352,39148820,6,no_news,
senate.gov,22822439,22822439,7,no_news,
youtube.com,11810742,11469182,10,no_news,
go.com,5000740,4875469,18,no_news,"It belongs to Disney now, but might be a different website years ago."
gop.gov,3839085,3839043,20,no_news,
britannica.com,3813094,3813094,21,no_news,
cq.com,1612968,1612968,40,no_news,
houstonchronicle.com,1295090,1293902,46,local,
inquirer.com,1186552,1186552,53,local,The Philadelphia Inquirer
insidernj.com,1077954,1077954,57,local,Insider New Jersery
law360.com,946387,946387,63,local,"Law360 is a subscription-based, legal news service based in New York City"
billtrack50.com,817519,817519,77,no_news,Your Search Engine for State Legislation
maryland.gov,711723,711497,88,no_news,
votesmart.org,685237,682579,92,no_news,
mikerogersforcongress.com,595380,297690,207,no_news,
coloradopolitics.com,583265,582021,112,local,Colorado Politics is published both in print and online
johnrose.com,572272,286136,220,no_news,
newjerseyglobe.com,549395,549395,114,local,
marijuanamoment.net,504405,504405,120,national,"Marijuana Moment helps activists, industry professionals, consumers, policymakers and the public understand developments and trends affecting cannabis."
instagram.com,489684,488677,124,no_news,
jewishinsider.com,484462,484462,127,local,"Jewish Insider (JI) covers politics and policy – and the people driving it – in the U.S., Middle East and beyond."
jewishvirtuallibrary.org,423837,423837,143,no_news,
state.pa.us,420044,420044,144,no_news,
radio.com,386931,386931,154,no_news,Redirect to https://www.audacy.com/ now
vogue.com,385903,385903,155,national,Fashion news?
trackbill.com,361294,361294,164,no_news,
blackpast.org,358161,358161,166,no_news,"BlackPast is dedicated to providing reliable information on the history of Black people across the globe, and especially in North America"
loc.gov,356822,356822,168,no_news,
wglt.org,345204,345204,176,local,Radio of Illinois
linkedin.com,342414,309980,203,no_news,
ttnews.com,324858,324858,190,national,The Newspaper of Trucking and Freight Transportation
independent.co.uk,323661,323661,191,international,
ourcampaigns.com,322074,322074,193,no_news,
nysenate.gov,310233,310233,202,no_news,
imdb.com,293141,293141,211,no_news,
timesofisrael.com,289167,289167,218,international,
wdet.org,287780,287780,219,local,Radio of Detroit
bgov.com,284889,284859,221,national,
suozziforcongress.com,284309,284309,223,no_news,
govinfo.gov,284132,284132,224,no_news,
timesofsandiego.com,275387,275387,231,local,
kathleenrice.com,273501,273501,234,no_news,
bbc.com,269973,269973,238,international,
yallpolitics.com,264962,264962,241,local,"Used to be a local meda in Mississippi, no longer operational "
julianforthefuture.com,263596,131798,600,,
graydc.com,258482,258460,247,,
wnpr.org,258242,258242,248,,
lizziefletcher.com,256991,256991,251,,
expressnews.com,256838,242726,270,,
