domain,counts,news,education,social,gov,campaign_personal,other_third_party,title,sum
safetyandhealthmagazine.com,37691,1,0,0,0,0,0,,1
myeasternshoremd.com,34956,1,0,0,0,0,0,,1
fortworthbusiness.com,16506,1,0,0,0,0,0,,1
3newsnow.com,92779,1,0,0,0,0,0,,1
dailycal.org,8468,1,0,0,0,0,0,,1
ccxmedia.org,1628,1,0,0,0,0,0,ccx media -,1
clermontsun.com,23530,1,0,0,0,0,0,,1
suncommunitynews.com,19317,1,0,0,0,0,0,,1
adirondackexplorer.org,13087,1,0,0,0,0,0,"adirondack explorer: environment, communities and outdoor recreation in the adirondacks",1
businessinsider.com.au,32348,1,0,0,0,0,0,,1
wkrg.com,16631,1,0,0,0,0,0,,1
cindyaxneforcongress.com,146820,0,0,0,0,1,0,,1
clintonherald.com,821,1,0,0,0,0,0,,1
mystateline.com,16055,1,0,0,0,0,0,,1
hadassah.org,16,0,0,0,0,0,1,hadassah | the women's zionist organization of america,1
espwebsite.com,3,0,0,0,0,0,1,,1
wbap.com,28333,1,0,0,0,0,0,news talk wbap 820 am and 93.3 fm | news talk wbap-am,1
lasvegassun.com,153656,1,0,0,0,0,0,,1
yesweekly.com,2978,1,0,0,0,0,0,,1
kdminer.com,2098,1,0,0,0,0,0,,1
richmondregister.com,18817,1,0,0,0,0,0,,1
framinghamsource.com,14732,0,0,0,0,0,1,framingham source - a self-publishing community bulletin board.,1
usni.org,124366,0,0,0,1,0,0,u.s. naval institute | the independent forum of the sea services,1
texarkanagazette.com,35282,1,0,0,0,0,0,,1
goodreads.com,1677,0,0,0,0,0,1,goodreads | meet your next favorite book,1
ned.org,14521,0,0,0,0,0,1,national endowment for democracy - supporting freedom around the world,1
sunnews.org,467,1,0,0,0,0,0,,1
ktul.com,64781,1,0,0,0,0,0,,1
rapidcityjournal.com,8749,1,0,0,0,0,0,,1
housingwire.com,10871,1,0,0,0,0,0,,1
billtrack50.com,844716,0,0,0,0,0,1,billtrack50 | federal & state legislation tracker,1
utah.edu,526,0,1,0,0,0,0,,1
heraldstaronline.com,4028,1,0,0,0,0,0,,1
thechicagonetwork.org,30,0,0,0,0,0,1,the chicago network - the chicago network,1
suntimes.com,885397,1,0,0,0,0,0,,1
thecapistranodispatch.com,43205,1,0,0,0,0,0,,1
nga.org,18061,0,0,0,0,0,1,national governors association,1
spotify.com,54492,0,0,0,0,0,1,spotify - web player: music for everyone,1
8newsnow.com,55977,1,0,0,0,0,0,,1
denverforcongress.com,82806,0,0,0,0,1,0,,1
fbindependent.com,45092,1,0,0,0,0,0,,1
myhorrynews.com,2093,1,0,0,0,0,0,,1
jewishexponent.com,12614,1,0,0,0,0,0,home - jewish exponent,1
elissaforcongress.com,159890,0,0,0,0,0,1,,1
eastpeoriatimescourier.com,436,1,0,0,0,0,0,,1
eugeneweekly.com,35142,0,0,0,0,0,1,,1
fox28spokane.com,34246,1,0,0,0,0,0,"fox 28 spokane home - spokane news, entertainment | fox 28 spokane",1
capjournal.com,13241,1,0,0,0,0,0,,1
nwahomepage.com,7219,1,0,0,0,0,0,,1
statenews.org,2917,1,0,0,0,0,0,,1
davisenterprise.com,23526,1,0,0,0,0,0,,1
springhopeenterprise.com,863,1,0,0,0,0,0,the enterprise - restoration newsmedia,1
eveningtribune.com,6774,1,0,0,0,0,0,,1
skyhinews.com,14675,1,0,0,0,0,0,,1
leaderherald.com,2187,1,0,0,0,0,0,,1
gregwalden.com,16680,0,0,0,0,1,0,,1
aderholtforcongress.org,74151,0,0,0,0,1,0,,1
news12.com,47707,1,0,0,0,0,0,,1
seanmaloney.com,169128,0,0,0,0,1,0,,1
borderreport.com,36708,1,0,0,0,0,0,mexico border and immigration news | borderreport.com,1
theprogressnews.com,1304,1,0,0,0,0,0,,1
thesunchronicle.com,5769,1,0,0,0,0,0,,1
theblaze.com,13039,1,0,0,0,0,0,,1
inquisitr.com,906,1,0,0,0,0,0,,1
carolinacoastonline.com,11504,0,0,0,0,0,1,,1
sent-trib.com,50881,1,0,0,0,0,0,,1
wcnc.com,86302,1,0,0,0,0,0,,1
nih.gov,5332,0,0,0,1,0,0,,1
villagesoup.com,7235,1,0,0,0,0,0,,1
tapinto.net,299726,1,0,0,0,0,0,,1
pinalcentral.com,1379,1,0,0,0,0,0,pinalcentral.com | pinal county's information source,1
voiceofalexandria.com,15970,1,0,0,0,0,0,,1
rivals.com,1356,0,0,0,0,0,1,rivals: football & basketball recruiting,1
wzzm13.com,55720,1,0,0,0,0,0,,1
statesville.com,49701,1,0,0,0,0,0,,1
thomasmassie.com,84111,0,0,0,0,1,0,"
    thomas massie - u.s. congressman
  ",1
pinejournal.com,1479,1,0,0,0,0,0,,1
kutv.com,118403,1,0,0,0,0,0,,1
telegraph.co.uk,383,1,0,0,0,0,0,,1
pinknews.co.uk,3848,1,0,0,0,0,0,,1
bethel.tv,176,1,0,0,0,0,0,,1
wjactv.com,53665,1,0,0,0,0,0,,1
altoday.com,17795,1,0,0,0,0,0,,1
wgrz.com,55633,1,0,0,0,0,0,,1
georgetown.edu,149187,0,1,0,0,0,0,,1
justsecurity.org,37375,1,0,0,0,0,0,,1
abc15.com,65556,1,0,0,0,0,0,,1
ozarksindependent.com,10734,0,0,0,0,0,1,login • instagram,1
wmfe.org,15414,1,0,0,0,0,0,,1
wvnews.com,45887,1,0,0,0,0,0,,1
retailleader.com,2460,1,0,0,0,0,0,,1
ocala-news.com,872,1,0,0,0,0,0,,1
shariceforcongress.com,118372,0,0,0,0,1,0,,1
theeagle.com,93260,1,0,0,0,0,0,,1
mainstreamumc.com,7595,1,0,0,0,0,0,mainstream umc -,1
jewishjournal.com,7142,1,0,0,0,0,0,,1
taosnews.com,1667,1,0,0,0,0,0,,1
mcphersonsentinel.com,14,0,0,0,0,0,1,,1
wikiquote.org,3361,0,0,0,0,0,1,wikiquote,1
wfla.com,59949,1,0,0,0,0,0,,1
stephaniemurphyforcongress.com,175777,0,0,0,0,1,0,,1
rollcall.com,4589637,1,0,0,0,0,0,,1
examiner.net,2856,1,0,0,0,0,0,,1
hppr.org,13423,0,0,0,0,0,1,hppr - homepage | hppr,1
nps.gov,428,0,0,0,1,0,0,,1
sanpetemessenger.com,7318,1,0,0,0,0,0,"sanpete county's local news, sports, events | sanpete messenger",1
scottpeters.com,146307,0,0,0,0,1,0,scott peters for congress,1
kokomoperspective.com,1616,0,0,0,0,0,1,,1
washtimesherald.com,453,1,0,0,0,0,0,,1
johnrose.com,127832,0,0,0,0,1,0,john rose - congress,1
nwnewsnetwork.org,10607,1,0,0,0,0,0,,1
lehighvalleylive.com,39740,1,0,0,0,0,0,,1
indexjournal.com,43948,1,0,0,0,0,0,,1
northcentralpa.com,19549,1,0,0,0,0,0,"northcentralpa.com | news, articles and events from northcentral pennsylvania",1
nprillinois.org,27725,1,0,0,0,0,0,home - npr illinois | stand with the facts  | npr illinois,1
demingheadlight.com,2031,1,0,0,0,0,0,,1
wandtv.com,8802,1,0,0,0,0,0,,1
gettysburgtimes.com,2163,1,0,0,0,0,0,,1
postregister.com,38794,1,0,0,0,0,0,,1
bonamiciforcongress.com,128491,0,0,0,0,1,0,,1
parsippanyfocus.com,7147,1,0,0,0,0,0,,1
myvalleynews.com,934,1,0,0,0,0,0,,1
montgomerynews.com,31451,1,0,0,0,0,0,,1
foodtank.com,3924,0,0,0,0,0,1,food tank: the think tank for food,1
kyma.com,46644,1,0,0,0,0,0,,1
kusi.com,150181,1,0,0,0,0,0,,1
troymessenger.com,9041,1,0,0,0,0,0,,1
wfmd.com,24596,1,0,0,0,0,0,frederick's free talk | wfmd-am,1
wwltv.com,106090,1,0,0,0,0,0,,1
vicksburgpost.com,7742,1,0,0,0,0,0,,1
tamusa.edu,626,0,1,0,0,0,0,,1
yakimaherald.com,83602,1,0,0,0,0,0,,1
adamsmith.org,126961,0,0,0,0,0,1,adam smith institute - adam smith institute,1
theitem.com,81813,1,0,0,0,0,0,,1
dsnews.com,13098,1,0,0,0,0,0,,1
wiltonbulletin.com,2115,1,0,0,0,0,0,,1
redlands.edu,14384,0,1,0,0,0,0,,1
tedbudd.com,97588,0,0,0,0,1,0,ted budd,1
doorcountypulse.com,4,1,0,0,0,0,0,door county news - door county pulse,1
kwqc.com,67981,1,0,0,0,0,0,,1
cloudforcongress.com,109188,0,0,0,0,1,0,,1
thecentralvirginian.com,2616,1,0,0,0,0,0,,1
allawson.com,84362,0,0,0,0,0,1,,1
friendsofglennthompson.com,96931,0,0,0,0,1,0,"congressman glenn ""gt"" thompson - representing pennsylvania's 15th
      district - offical campaign website ",1
kmov.com,67404,1,0,0,0,0,0,,1
kasu.org,803,1,0,0,0,0,0,,1
belleplaineherald.com,404,1,0,0,0,0,0,,1
wikivisually.com,2,0,0,0,0,0,1,"
wikivisually
",1
instagram.com,384041,0,0,1,0,0,0,,1
sooeveningnews.com,1,1,0,0,0,0,0,,1
columbiamissourian.com,67918,1,0,0,0,0,0,,1
yubanet.com,12623,1,0,0,0,0,0,yubanet - we deliver news to the sierra,1
neusenews.com,19077,1,0,0,0,0,0,,1
kwch.com,131091,1,0,0,0,0,0,,1
whqr.org,23458,1,0,0,0,0,0,,1
wjct.org,178857,1,0,0,0,0,0,,1
insurancejournal.com,5894,1,0,0,0,0,0,,1
clickorlando.com,71110,1,0,0,0,0,0,"clickorlando l orlando, florida news, local headlines l wkmg news 6",1
leoweekly.com,11518,1,0,0,0,0,0,,1
defenseone.com,38088,1,0,0,0,0,0,defense one,1
visaliatimesdelta.com,9589,1,0,0,0,0,0,,1
law.com,34353,0,0,0,0,0,1,law.com | the premier source for global legal news & analysis,1
greenwooddemocrat.com,872,0,0,0,0,1,0,,1
fitsnews.com,4686,1,0,0,0,0,0,,1
cyberscoop.com,34559,1,0,0,0,0,0,"cyberscoop | breaking cybersecurity news, public sector threats",1
liberalfirst.com,2680,0,0,0,0,0,1,home,1
startribune.com,725267,1,0,0,0,0,0,,1
alaskansfordonyoung.com,170034,0,0,0,0,1,0,alaskans for don young | standing up for alaska everyday,1
sheilajacksonlee18.com,111239,1,0,0,0,0,0,independent field of knowledge - political journalism,1
wahoo-ashland-waverly.com,4493,1,0,0,0,0,0,,1
maysville-online.com,5,1,0,0,0,0,0,,1
effinghamherald.net,9443,1,0,0,0,0,0,,1
fresnobee.com,282952,1,0,0,0,0,0,,1
theeastsiderla.com,20659,1,0,0,0,0,0,theeastsiderla.com | news from the eastside of los angeles,1
romesentinel.com,30065,1,0,0,0,0,0,,1
arktimes.com,31091,1,0,0,0,0,0,,1
mynews4.com,55816,1,0,0,0,0,0,,1
sdxcentral.com,7439,1,0,0,0,0,0,"sdxcentral | make informed tech decisions, faster",1
laconiadailysun.com,10836,1,0,0,0,0,0,laconiadailysun.com | seeking the truth and printing it.,1
kentucky.com,209529,1,0,0,0,0,0,,1
gop.gov,3562366,0,0,0,1,0,0,,1
out.com,4071,0,0,0,0,0,1,"out magazine - gay & lesbian travel, fashion, culture & politics",1
jeffduncan.com,22213,0,0,0,0,1,0,home - jeff duncan for congress,1
lawenforcementtoday.com,630,0,0,0,0,0,1,welcome | law enforcement today | lawenforcementtoday.com,1
northescambia.com,5882,1,0,0,0,0,0, northescambia.com,1
augustachronicle.com,21007,1,0,0,0,0,0,,1
tennessean.com,233159,1,0,0,0,0,0,,1
thecollegepost.com,6084,0,1,0,0,0,0,,1
chrispappas.org,93311,0,0,0,0,1,0,chris pappas for congress,1
berkeley.edu,10799,0,1,0,0,0,0,,1
boxrec.com,5676,0,0,0,0,0,1,"
							boxrec
					",1
wtva.com,93956,1,0,0,0,0,0,,1
onenewspage.com,740,1,0,0,0,0,0,,1
floridatoday.com,95973,1,0,0,0,0,0,,1
thetimesnews.com,434,1,0,0,0,0,0,,1
wbay.com,41490,1,0,0,0,0,0,,1
hawaiitribune-herald.com,631,1,0,0,0,0,0,,1
