url,title,text,path,qry
https://www.youtube.com/watch?v=N89qk8p94dE,Disney Sing-Along: Anthony Gonzales - Proud Corazon ...,Disney Music,watch,Anthony Gonzalez
https://www.youtube.com/watch?v=i0uf4cEWc3c,Congress Convos: A Chat with Senator Roger Marshall,,watch,Roger Marshall
http://www.youtube.com/watch?v=aHwtih-Vzkc,Adrian Smith talks 'Monsters Of River & Rock',Iron Maiden,watch,Adrian Smith
https://www.youtube.com/watch?v=CJmOqbNYQQc,"Bobby Rush performs ""I Ain't Studdin' You"" on DittyTV",DittyTV,watch,Bobby Rush
https://www.youtube.com/watch?v=-WQM9aTvQVQ,Rep. Collin Peterson Seeking 16th Term in Congress,Lakeland PBS,watch,Collin Peterson
https://www.youtube.com/RepBrownley,Julia Brownley - YouTube,,RepBrownley,Julia Brownley
https://www.youtube.com/watch?v=2DPsW1rIYBU,Rep. David Schweikert formally reprimanded by the House ...,12 News,watch,David Schweikert
https://www.youtube.com/watch?v=FvrTgCTQaTw,U.S. Rep. Greg Gianforte on Montana This Morning,KTVQ News,watch,Greg Gianforte
https://www.youtube.com/watch?v=M9qS6rZTJqQ,,,watch,Bennie Thompson
https://www.youtube.com/watch?v=Wd6b_8OlwXU,Texas Reloaded - Greatest joint campaign ad in history,Dan Crenshaw for Congress,watch,Dan Crenshaw
https://www.youtube.com/watch?v=NfRJKlquZ94,It's All About the One Thing - Bill Johnson (Full ... - YouTube,,watch,Bill Johnson
https://www.youtube.com/watch?v=fEOUF9vUdRs,Rep. Val Demings Talks About Landing on Joe Biden's VP ...,The Tonight Show Starring...,watch,Val Demings
https://www.youtube.com/watch?v=37a97TWcEnc,"Rep. Hank Johnson : ""The pot calling the kettle black is not ...",C-SPAN,watch,Hank Johnson
https://www.youtube.com/watch?v=s6CFS4tHf4w,Democratic Debate: Tulsi Gabbard Goes After the Party ...,NBC New York,watch,Tulsi Gabbard
https://m.youtube.com/watch?v=8dmkys5zECs,,,watch,Grace Meng
https://www.youtube.com/watch?v=ecpF26eMV3U,Adam Schiff Closing Argument,C-SPAN,watch,Adam Schiff
https://www.youtube.com/watch?v=NVHPunas4E4,"The Apollo Guidance Computer, Part Two: David Scott",Computer History Museum,watch,David Scott
