domain,dem_prop,rep_prop,bias_score
1011now.com,3.2108760661566e-05,0.0006068549795869,0.5387
10news.com,6.413415287927778e-05,0.0,0.3315
10tv.com,0.0001340624126064,0.0001526437074357,0.1897
11alive.com,0.0003173479364199,0.0003564410832411,0.1956
12news.com,9.466486799646043e-05,7.269366311381003e-05,0.1167
12newsnow.com,7.193505726849356e-06,0.0001232897358747,0.1802
13abc.com,2.5742984484412054e-05,5.3109072147769376e-05,0.1424
13newsnow.com,0.0004738066859788,0.0001107934836046,0.1512
13wham.com,0.000300674247649,4.727341399720188e-05,0.2303
13wmaz.com,3.1751467330762224e-05,2.121154801587165e-05,0.059
1430wcmy.com,0.0,3.8191480042981e-08,
1440wrok.com,0.0,9.48676364267648e-06,
14news.com,2.837504535466654e-05,0.0,0.2809
21centurystate.com,1.7864666540188798e-08,0.0,
247sports.com,0.0,5.530126310223649e-06,0.4578
27east.com,0.0,9.983252883235232e-06,-0.0899
3newsnow.com,1.4893177005670728e-05,0.0002387884098207,0.3859
401kspecialistmag.com,2.8869301128945097e-05,4.2805010832173104e-05,
4029tv.com,2.558220248555036e-05,7.69711088786239e-05,
406mtsports.com,0.0,2.5053610908195534e-06,
41nbc.com,3.669997996239452e-05,6.11063680687696e-08,
5280.com,2.2646442284112664e-05,0.0,-0.178
560theanswer.com,0.0,2.810892931163401e-06,
5newsonline.com,0.0,0.0002267275404231,
6abc.com,0.0001156558511811,2.749786563094632e-07,0.0414
6amcity.com,0.0,5.579011404678664e-05,
710keel.com,0.0,2.19066329526539e-05,
83degreesmedia.com,5.358208984287293e-05,0.0,0.1834
8newsnow.com,9.995280929235632e-05,7.801755543180158e-05,0.3027
945theanswer.com,0.0,1.0815827148172218e-05,
953mnc.com,4.811550188157516e-06,0.0003392701938138,
959watd.com,3.375230998326337e-05,0.0,
960thepatriot.com,0.0,1.5047443136934514e-06,
9and10news.com,2.9036038016653527e-05,0.0001438138372498,
9news.com,7.385848636598722e-05,6.581155841006485e-05,0.152
aa.com.tr,4.7758208550771385e-06,0.0,-0.0954
aaf.org,0.0,2.215105842492898e-07,
abajournal.com,2.6469480923713068e-05,0.0,-0.181
abbyfinkenauer.com,0.0002816602875614,0.0,
abc10.com,0.0004670657518043,1.3321188238991772e-05,0.1524
abc10up.com,0.0,3.230235382035333e-05,
abc11.com,2.2503524951791154e-05,8.174504388399653e-05,0.1256
abc12.com,6.760585307692114e-05,0.0001491148146798,-0.5704
abc13.com,0.0002038001158904,6.297011229486706e-05,0.0947
abc15.com,0.0001426076781014,4.290430868028485e-05,0.3036
abc17news.com,0.0006545673369213,0.0003781109290175,
abc23.com,0.0,3.995592642096672e-05,
abc27.com,0.0002017039950164,0.000212421011999,0.1197
abc30.com,0.0003191820421847,0.0002422103664325,0.2113
abc3340.com,3.1144068668395804e-05,0.0002316924328287,0.2458
abc4.com,7.89856456630214e-05,1.9309612309731192e-05,
abc57.com,0.0,0.0001265054584943,
abc6.com,0.0001110884514357,0.0,-0.032
abc6onyourside.com,0.0002348905905592,0.0003862915440427,0.1325
abc7.com,0.0001926049248586,0.0,0.0957
abc7amarillo.com,0.0,9.517316826710863e-06,
abc7chicago.com,0.0003722877409198,3.914626704405552e-05,0.087
abc7news.com,0.0005159494343471,3.330297059747943e-06,0.0002
abc7ny.com,0.0001419466854394,0.0001798284029303,-0.1432
abcactionnews.com,7.090486149800933e-05,0.0002821433779655,0.3208
abccolumbia.com,1.0028032817892644e-05,0.000115544503722,
abcnews4.com,0.0002348786807815,5.637062454343995e-05,0.1335
abcnewsradioonline.com,0.0001005840275101,0.0,-0.1461
abcstlouis.com,0.0,3.8191480042981e-08,
aberdeennews.com,0.0,4.598254197174912e-06,0.4177
abigailspanberger.com,0.0002785101513615,0.0,
abovethelaw.com,0.0,6.798083447650618e-07,-0.2675
abqjournal.com,0.0002784982415838,6.660594119495886e-06,-0.1089
academyhealth.org,0.0,7.15555570085292e-05,
acadialending.com,0.0,1.680425121891164e-07,
acainternational.org,0.0,0.0002007344191059,
acceptthisrose.com,0.0,3.1087864754986533e-06,
accountingtoday.com,5.4320496059867406e-05,0.0,0.3654
acrofan.com,0.0,1.52765920171924e-08,
actiac.org,2.6064548482135452e-05,0.0,
actionnewsjax.com,0.0002350215981138,0.0001760474464061,0.3692
actionnewsnow.com,2.739248869495616e-07,0.000133349371718,
adamschiff.com,0.0003304844212157,0.0,
adamsmith.org,0.0004469084530582,0.0,
adamsmithworks.org,1.887699764413283e-06,0.0,
aderholtforcongress.org,0.0,0.0003354510458095,
adirondackdailyenterprise.com,0.0,0.0001124051640625,-0.1454
adirondackexplorer.org,1.917474208646931e-05,0.0,
adn.com,3.044139178448171e-05,0.0003689831652872,-0.1124
adparchitects.com,4.168422192710719e-08,0.0,
adrianoespaillat.com,0.0002830477766627,0.0,
advantagenews.com,0.0,9.227825407985068e-05,
advertisernewssouth.com,1.2058649914627438e-05,0.0,
advocate.com,5.984663290963247e-06,3.032403515412691e-06,-0.7671
advocateanddemocrat.com,0.0,3.71755866738377e-05,
af.mil,2.858346646430208e-07,0.0,0.4882
aflcio.org,4.168422192710719e-08,1.4741911296590665e-06,-0.7818
afro.com,2.417684871772217e-06,0.0,-0.6051
agnetwest.com,7.640122390354075e-06,3.761096954632768e-05,
agri-pulse.com,0.0002655999523418,0.0001995963130006,0.2313
agriculture.com,4.0731439711630456e-05,0.0,0.7299
agrinews-pubs.com,0.0,4.902258378317041e-05,
agweek.com,2.058009585429749e-05,7.6382960085962e-09,0.5145
aikenstandard.com,0.0,4.061281987770599e-05,0.1641
ainonline.com,5.6726271153946165e-05,0.0,0.4385
aip.org,1.0039942595586104e-05,0.0,-0.7329
airforcemag.com,0.0,0.000141361944231,
airforcetimes.com,3.4484761311411106e-05,9.196508394349823e-06,-0.108
airlinegeeks.com,7.401926836484891e-06,0.0,
ajc.com,0.0004360407809129,0.0008615615982896,-0.0813
ajot.com,0.0,9.367606224942378e-05,
akronnewsreporter.com,0.0,4.205645782333068e-05,
al-monitor.com,6.682576263799956e-05,0.0,-0.4134
al.com,1.5572034334197902e-05,0.0005035699409587,0.0245
alabamanews.net,1.2582680133139643e-05,3.1928077315932114e-06,
alaina2020.com,0.0,7.190691862492462e-05,
alamogordonews.com,2.596331537174105e-06,0.0,
alanlowenthal.com,7.194696704618702e-05,0.0,
alaska-native-news.com,0.0,3.1317013635244417e-07,
alaskansfordonyoung.com,0.0,0.0003587325720437,
alaskapublic.org,0.0,7.639059838197059e-05,-0.5353
alaskasnewssource.com,0.0,7.6382960085962e-09,
albanyherald.com,0.0001530108689167,5.151266828197277e-05,-0.2253
