domain,serp_rank,is_home_district,category,counts,classification
1011now.com,2.0,False,news,2,local
1011now.com,3.0,False,news,13,local
1011now.com,4.0,False,news,1200,local
1011now.com,5.0,False,news,6503,local
1011now.com,5.0,True,news,18,local
1011now.com,6.0,False,news,16851,local
1011now.com,6.0,True,news,36,local
1011now.com,7.0,False,news,11986,local
1011now.com,7.0,True,news,22,local
1011now.com,8.0,False,news,20221,local
1011now.com,8.0,True,news,57,local
1011now.com,9.0,False,news,5556,local
1011now.com,9.0,True,news,10,local
1011now.com,10.0,False,news,5701,local
1011now.com,10.0,True,news,9,local
1011now.com,11.0,False,news,5219,local
1011now.com,11.0,True,news,14,local
1011now.com,12.0,False,news,3106,local
1011now.com,12.0,True,news,8,local
1011now.com,13.0,False,news,2772,local
1011now.com,13.0,True,news,7,local
1011now.com,14.0,False,news,1284,local
1011now.com,14.0,True,news,4,local
1011now.com,15.0,False,news,793,local
1011now.com,15.0,True,news,4,local
1011now.com,16.0,False,news,927,local
1011now.com,16.0,True,news,2,local
1011now.com,17.0,False,news,465,local
1011now.com,17.0,True,news,1,local
1011now.com,18.0,False,news,240,local
1011now.com,19.0,False,news,383,local
1011now.com,19.0,True,news,1,local
1011now.com,20.0,False,news,21,local
1011now.com,21.0,False,news,554,local
1011now.com,22.0,False,news,257,local
1011now.com,23.0,False,news,8,local
1011now.com,23.0,True,news,2,local
1011now.com,24.0,False,news,44,local
1011now.com,25.0,False,news,338,local
1011now.com,26.0,False,news,46,local
1011now.com,27.0,False,news,41,local
1011now.com,27.0,True,news,1,local
1011now.com,28.0,False,news,18,local
1011now.com,29.0,False,news,96,local
10news.com,3.0,False,news,432,local
10news.com,3.0,True,news,1,local
10news.com,4.0,False,news,5,local
10news.com,5.0,False,news,727,local
10news.com,5.0,True,news,1,local
10news.com,6.0,False,news,536,local
10news.com,6.0,True,news,2,local
10news.com,7.0,False,news,7,local
10news.com,8.0,False,news,426,local
10news.com,8.0,True,news,1,local
10news.com,9.0,False,news,14,local
10news.com,10.0,False,news,2928,local
10news.com,10.0,True,news,7,local
10news.com,11.0,False,news,3590,local
10news.com,11.0,True,news,9,local
10news.com,12.0,False,news,526,local
10news.com,12.0,True,news,1,local
10news.com,13.0,False,news,1154,local
10news.com,13.0,True,news,3,local
10news.com,14.0,False,news,263,local
10news.com,15.0,False,news,105,local
10news.com,16.0,False,news,20,local
10news.com,17.0,False,news,12,local
10tv.com,1.0,False,news,870,local
10tv.com,1.0,True,news,2,local
10tv.com,2.0,False,news,434,local
10tv.com,2.0,True,news,1,local
10tv.com,3.0,False,news,1,local
10tv.com,4.0,False,news,2,local
10tv.com,5.0,False,news,778,local
10tv.com,5.0,True,news,1,local
10tv.com,6.0,False,news,1724,local
10tv.com,6.0,True,news,2,local
10tv.com,7.0,False,news,1770,local
10tv.com,7.0,True,news,6,local
10tv.com,8.0,False,news,1240,local
10tv.com,8.0,True,news,4,local
10tv.com,9.0,False,news,7907,local
10tv.com,9.0,True,news,20,local
10tv.com,10.0,False,news,8694,local
10tv.com,10.0,True,news,21,local
10tv.com,11.0,False,news,2935,local
10tv.com,11.0,True,news,6,local
10tv.com,12.0,False,news,4940,local
10tv.com,12.0,True,news,13,local
10tv.com,13.0,False,news,1538,local
10tv.com,13.0,True,news,2,local
10tv.com,14.0,False,news,1368,local
10tv.com,14.0,True,news,4,local
10tv.com,15.0,False,news,1185,local
10tv.com,15.0,True,news,2,local
10tv.com,16.0,False,news,544,local
10tv.com,16.0,True,news,1,local
10tv.com,17.0,False,news,1556,local
10tv.com,17.0,True,news,3,local
10tv.com,18.0,False,news,1342,local
10tv.com,18.0,True,news,4,local
10tv.com,19.0,False,news,58,local
10tv.com,20.0,False,news,25,local
10tv.com,21.0,False,news,16,local
10tv.com,22.0,False,news,1680,local
10tv.com,22.0,True,news,4,local
10tv.com,23.0,False,news,562,local
10tv.com,23.0,True,news,3,local
10tv.com,24.0,False,news,47,local
10tv.com,25.0,False,news,1176,local
10tv.com,25.0,True,news,1,local
10tv.com,26.0,False,news,5,local
11alive.com,2.0,False,news,1119,local
11alive.com,3.0,False,news,3353,local
11alive.com,3.0,True,news,3,local
11alive.com,4.0,False,news,2817,local
11alive.com,4.0,True,news,7,local
11alive.com,5.0,False,news,2908,local
11alive.com,5.0,True,news,4,local
11alive.com,6.0,False,news,3653,local
11alive.com,6.0,True,news,19,local
11alive.com,7.0,False,news,11585,local
11alive.com,7.0,True,news,29,local
11alive.com,8.0,False,news,17454,local
11alive.com,8.0,True,news,47,local
11alive.com,9.0,False,news,19138,local
11alive.com,9.0,True,news,39,local
11alive.com,10.0,False,news,19696,local
11alive.com,10.0,True,news,37,local
11alive.com,11.0,False,news,5447,local
11alive.com,11.0,True,news,13,local
11alive.com,12.0,False,news,4821,local
11alive.com,12.0,True,news,11,local
11alive.com,13.0,False,news,2424,local
11alive.com,13.0,True,news,6,local
11alive.com,14.0,False,news,959,local
11alive.com,14.0,True,news,2,local
11alive.com,15.0,False,news,862,local
11alive.com,15.0,True,news,3,local
11alive.com,16.0,False,news,1327,local
11alive.com,16.0,True,news,5,local
11alive.com,17.0,False,news,985,local
11alive.com,17.0,True,news,1,local
11alive.com,18.0,False,news,657,local
11alive.com,18.0,True,news,1,local
11alive.com,19.0,False,news,39,local
11alive.com,19.0,True,news,2,local
11alive.com,20.0,False,news,5,local
11alive.com,22.0,False,news,2,local
11alive.com,23.0,False,news,1,local
11alive.com,24.0,False,news,1,local
11alive.com,25.0,False,news,69,local
11alive.com,26.0,False,news,402,local
11alive.com,26.0,True,news,1,local
11alive.com,27.0,False,news,2,local
11alive.com,28.0,False,news,1,local
12news.com,3.0,False,news,365,local
12news.com,3.0,True,news,1,local
12news.com,4.0,False,news,479,local
12news.com,4.0,True,news,1,local
12news.com,5.0,False,news,1,local
12news.com,6.0,False,news,15,local
12news.com,7.0,False,news,417,local
12news.com,7.0,True,news,1,local
12news.com,8.0,False,news,185,local
12news.com,8.0,True,news,1,local
12news.com,9.0,False,news,2081,local
12news.com,9.0,True,news,13,local
12news.com,10.0,False,news,8740,local
12news.com,10.0,True,news,13,local
12news.com,11.0,False,news,6810,local
12news.com,11.0,True,news,15,local
12news.com,12.0,False,news,822,local
12news.com,12.0,True,news,2,local
12news.com,13.0,False,news,755,local
12news.com,13.0,True,news,2,local
12news.com,14.0,False,news,1523,local
12news.com,14.0,True,news,1,local
12news.com,15.0,False,news,605,local
12news.com,15.0,True,news,3,local
12news.com,16.0,False,news,957,local
12news.com,16.0,True,news,3,local
12news.com,17.0,False,news,91,local
12news.com,17.0,True,news,1,local
12news.com,18.0,False,news,443,local
12news.com,18.0,True,news,1,local
12news.com,19.0,False,news,22,local
12news.com,20.0,False,news,219,local
12news.com,21.0,False,news,8,local
12news.com,22.0,False,news,282,local
12news.com,22.0,True,news,2,local
12news.com,23.0,False,news,10,local
12news.com,24.0,False,news,518,local
12news.com,25.0,False,news,5,local
12news.com,28.0,False,news,1,local
12newsnow.com,4.0,False,news,412,local
12newsnow.com,4.0,True,news,2,local
12newsnow.com,6.0,False,news,1513,local
12newsnow.com,6.0,True,news,3,local
12newsnow.com,7.0,False,news,65,local
12newsnow.com,8.0,False,news,554,local
12newsnow.com,8.0,True,news,1,local
12newsnow.com,9.0,False,news,1935,local
12newsnow.com,9.0,True,news,3,local
12newsnow.com,10.0,False,news,1627,local
12newsnow.com,10.0,True,news,4,local
12newsnow.com,11.0,False,news,3287,local
12newsnow.com,11.0,True,news,5,local
12newsnow.com,12.0,False,news,4867,local
12newsnow.com,12.0,True,news,8,local
12newsnow.com,13.0,False,news,159,local
12newsnow.com,13.0,True,news,1,local
12newsnow.com,14.0,False,news,594,local
12newsnow.com,14.0,True,news,2,local
12newsnow.com,15.0,False,news,741,local
12newsnow.com,15.0,True,news,7,local
12newsnow.com,16.0,False,news,1258,local
12newsnow.com,16.0,True,news,1,local
12newsnow.com,17.0,False,news,195,local
12newsnow.com,17.0,True,news,1,local
12newsnow.com,18.0,False,news,44,local
12newsnow.com,18.0,True,news,1,local
12newsnow.com,19.0,False,news,52,local
12newsnow.com,19.0,True,news,1,local
12newsnow.com,20.0,False,news,6,local
13abc.com,6.0,False,news,18,local
13abc.com,7.0,False,news,3088,local
