crawl_id,qry,home_dist,random_dist,home_result_length,random_dist_result_length,rbo_similarity
20201007,Brad Wenstrup,OH-2,FL-10,15,15,1
20201215,Brad Wenstrup,OH-2,CO-3,15,15,1
20201211,Brad Wenstrup,OH-2,OR-5,14,14,1
20201014,Brad Wenstrup,OH-2,PA-10,18,18,1
20200921,Brad Wenstrup,OH-2,CA-51,15,15,1
20201015,Brad Wenstrup,OH-2,NC-10,18,18,1
20201111,Brad Wenstrup,OH-2,MA-1,17,17,1
20201028,Brad Wenstrup,OH-2,NY-14,15,15,1
20201218,Brad Wenstrup,OH-2,MI-8,15,15,1
20201011,Brad Wenstrup,OH-2,TX-14,15,16,1
20201216,Buddy Carter,GA-1,IN-8,17,17,1
20201230,Buddy Carter,GA-1,FL-24,15,15,1
20200919,Buddy Carter,GA-1,AL-7,15,15,1
20201025,Buddy Carter,GA-1,IA-2,15,15,1
20201101,Buddy Carter,GA-1,KY-5,16,16,1
20201201,Buddy Carter,GA-1,IN-5,16,16,1
20201220,Buddy Carter,GA-1,CA-2,15,15,1
20200930,Buddy Carter,GA-1,FL-26,16,16,1
20200901,Buddy Carter,GA-1,PA-16,15,15,1
20201125,Buddy Carter,GA-1,FL-1,16,16,1
20201115,Clay Higgins,LA-3,CA-12,19,19,1
20201225,Clay Higgins,LA-3,FL-27,17,17,1
20201011,Clay Higgins,LA-3,NC-9,17,17,1
20200914,Clay Higgins,LA-3,LA-2,19,19,1
20201122,Clay Higgins,LA-3,AR-1,19,19,1
20201206,Clay Higgins,LA-3,CT-1,17,17,1
20201025,Clay Higgins,LA-3,SC-5,21,20,1
20200901,Clay Higgins,LA-3,NY-23,18,15,1
20201106,Clay Higgins,LA-3,TX-14,22,22,1
20201126,Clay Higgins,LA-3,OH-11,19,17,1
20201008,Drew Ferguson,GA-3,MD-2,16,16,1
20201209,Drew Ferguson,GA-3,GA-5,12,12,1
20201003,Drew Ferguson,GA-3,NJ-7,15,15,1
20201206,Drew Ferguson,GA-3,TX-29,12,12,1
20200908,Drew Ferguson,GA-3,NY-26,13,13,1
20201118,Drew Ferguson,GA-3,VA-10,12,12,1
20200911,Drew Ferguson,GA-3,MA-2,13,13,1
20201006,Drew Ferguson,GA-3,NY-18,16,16,1
20201231,Drew Ferguson,GA-3,WI-7,12,12,1
20200902,Drew Ferguson,GA-3,NY-4,12,6,1
20200904,Elise Stefanik,NY-21,HI-1,19,19,1
20201125,Elise Stefanik,NY-21,CA-45,20,20,1
20201025,Elise Stefanik,NY-21,NJ-2,21,21,1
20200914,Elise Stefanik,NY-21,TX-32,17,17,1
20201212,Elise Stefanik,NY-21,ID-2,17,17,1
20201014,Elise Stefanik,NY-21,OH-11,18,18,1
20201019,Elise Stefanik,NY-21,DE-AT LARGE,18,18,1
20201227,Elise Stefanik,NY-21,TX-19,16,16,1
