domain,party,serp_rank,counts
1011now.com,Democrat,6.0,401
1011now.com,Democrat,7.0,808
1011now.com,Democrat,8.0,1235
1011now.com,Democrat,9.0,1747
1011now.com,Democrat,10.0,416
1011now.com,Democrat,11.0,743
1011now.com,Democrat,12.0,17
1011now.com,Democrat,14.0,13
1011now.com,Democrat,17.0,2
1011now.com,Democrat,18.0,4
1011now.com,Democrat,19.0,5
1011now.com,Democrat,20.0,1
1011now.com,Republican,2.0,2
1011now.com,Republican,3.0,13
1011now.com,Republican,4.0,1200
1011now.com,Republican,5.0,6521
1011now.com,Republican,6.0,16486
1011now.com,Republican,7.0,11200
1011now.com,Republican,8.0,19043
1011now.com,Republican,9.0,3819
1011now.com,Republican,10.0,5294
1011now.com,Republican,11.0,4490
1011now.com,Republican,12.0,3097
1011now.com,Republican,13.0,2779
1011now.com,Republican,14.0,1275
1011now.com,Republican,15.0,797
1011now.com,Republican,16.0,929
1011now.com,Republican,17.0,464
1011now.com,Republican,18.0,236
1011now.com,Republican,19.0,379
1011now.com,Republican,20.0,20
1011now.com,Republican,21.0,554
1011now.com,Republican,22.0,257
1011now.com,Republican,23.0,10
1011now.com,Republican,24.0,44
1011now.com,Republican,25.0,338
1011now.com,Republican,26.0,46
1011now.com,Republican,27.0,42
1011now.com,Republican,28.0,18
1011now.com,Republican,29.0,96
10news.com,Democrat,3.0,433
10news.com,Democrat,4.0,5
10news.com,Democrat,5.0,728
10news.com,Democrat,6.0,538
10news.com,Democrat,7.0,7
10news.com,Democrat,8.0,427
10news.com,Democrat,9.0,14
10news.com,Democrat,10.0,2935
10news.com,Democrat,11.0,3599
10news.com,Democrat,12.0,527
10news.com,Democrat,13.0,1157
10news.com,Democrat,14.0,263
10news.com,Democrat,15.0,105
10news.com,Democrat,16.0,20
10news.com,Democrat,17.0,12
10tv.com,Democrat,1.0,872
10tv.com,Democrat,2.0,435
10tv.com,Democrat,3.0,1
10tv.com,Democrat,5.0,412
10tv.com,Democrat,6.0,746
10tv.com,Democrat,7.0,12
10tv.com,Democrat,8.0,938
10tv.com,Democrat,9.0,2021
10tv.com,Democrat,10.0,3042
10tv.com,Democrat,11.0,2319
10tv.com,Democrat,12.0,4499
10tv.com,Democrat,13.0,1117
10tv.com,Democrat,14.0,1372
10tv.com,Democrat,15.0,1187
10tv.com,Democrat,16.0,545
10tv.com,Democrat,17.0,1559
10tv.com,Democrat,18.0,1346
10tv.com,Democrat,19.0,51
10tv.com,Democrat,20.0,21
10tv.com,Democrat,21.0,15
10tv.com,Democrat,22.0,2
10tv.com,Democrat,24.0,1
10tv.com,Republican,4.0,2
10tv.com,Republican,5.0,367
10tv.com,Republican,6.0,980
10tv.com,Republican,7.0,1764
10tv.com,Republican,8.0,306
10tv.com,Republican,9.0,5906
10tv.com,Republican,10.0,5673
10tv.com,Republican,11.0,622
