domain,cmpt_rank,is_home_district,category,counts,classification,is_news,is_local,is_poli_control,rank
1011now.com,0.0,False,news,1,local,True,True,False,1.0
1011now.com,1.0,False,news,531,local,True,True,False,2.0
1011now.com,1.0,True,news,2,local,True,True,False,2.0
1011now.com,2.0,False,news,255,local,True,True,False,3.0
1011now.com,2.0,True,news,1,local,True,True,False,3.0
1011now.com,3.0,False,news,5234,local,True,True,False,4.0
1011now.com,3.0,True,news,8,local,True,True,False,4.0
1011now.com,4.0,False,news,25779,local,True,True,False,5.0
1011now.com,4.0,True,news,55,local,True,True,False,5.0
1011now.com,5.0,False,news,14254,local,True,True,False,6.0
1011now.com,5.0,True,news,39,local,True,True,False,6.0
1011now.com,6.0,False,news,24511,local,True,True,False,7.0
1011now.com,6.0,True,news,47,local,True,True,False,7.0
1011now.com,7.0,False,news,8940,local,True,True,False,8.0
1011now.com,7.0,True,news,27,local,True,True,False,8.0
1011now.com,8.0,False,news,4135,local,True,True,False,9.0
1011now.com,8.0,True,news,14,local,True,True,False,9.0
1011now.com,9.0,False,news,644,local,True,True,False,10.0
1011now.com,9.0,True,news,3,local,True,True,False,10.0
1011now.com,10.0,False,news,214,local,True,True,False,11.0
1011now.com,11.0,False,news,130,local,True,True,False,12.0
1011now.com,12.0,False,news,8,local,True,True,False,13.0
10news.com,1.0,False,news,1,local,True,True,False,2.0
10news.com,2.0,False,news,465,local,True,True,False,3.0
10news.com,2.0,True,news,1,local,True,True,False,3.0
10news.com,3.0,False,news,15,local,True,True,False,4.0
10news.com,4.0,False,news,51,local,True,True,False,5.0
10news.com,4.0,True,news,1,local,True,True,False,5.0
10news.com,5.0,False,news,1520,local,True,True,False,6.0
10news.com,5.0,True,news,4,local,True,True,False,6.0
10news.com,6.0,False,news,3129,local,True,True,False,7.0
10news.com,6.0,True,news,8,local,True,True,False,7.0
10news.com,7.0,False,news,3042,local,True,True,False,8.0
10news.com,7.0,True,news,6,local,True,True,False,8.0
10news.com,8.0,False,news,753,local,True,True,False,9.0
10news.com,8.0,True,news,1,local,True,True,False,9.0
10news.com,9.0,False,news,452,local,True,True,False,10.0
10news.com,9.0,True,news,1,local,True,True,False,10.0
10news.com,10.0,False,news,12,local,True,True,False,11.0
10tv.com,0.0,False,news,5,local,True,True,False,1.0
10tv.com,1.0,False,news,1324,local,True,True,False,2.0
10tv.com,1.0,True,news,3,local,True,True,False,2.0
10tv.com,2.0,False,news,317,local,True,True,False,3.0
10tv.com,2.0,True,news,1,local,True,True,False,3.0
10tv.com,3.0,False,news,2126,local,True,True,False,4.0
10tv.com,3.0,True,news,7,local,True,True,False,4.0
10tv.com,4.0,False,news,5346,local,True,True,False,5.0
10tv.com,4.0,True,news,11,local,True,True,False,5.0
10tv.com,5.0,False,news,14460,local,True,True,False,6.0
10tv.com,5.0,True,news,32,local,True,True,False,6.0
10tv.com,6.0,False,news,8481,local,True,True,False,7.0
10tv.com,6.0,True,news,23,local,True,True,False,7.0
10tv.com,7.0,False,news,5258,local,True,True,False,8.0
10tv.com,7.0,True,news,13,local,True,True,False,8.0
10tv.com,8.0,False,news,2176,local,True,True,False,9.0
10tv.com,8.0,True,news,3,local,True,True,False,9.0
10tv.com,9.0,False,news,1564,local,True,True,False,10.0
10tv.com,9.0,True,news,3,local,True,True,False,10.0
10tv.com,10.0,False,news,1315,local,True,True,False,11.0
10tv.com,10.0,True,news,4,local,True,True,False,11.0
10tv.com,11.0,False,news,25,local,True,True,False,12.0
11alive.com,1.0,False,news,528,local,True,True,False,2.0
