domain,dem_prop,rep_prop,bias_score
1011now.com,3.991584567130494e-05,0.0007389984948022,0.5387
10news.com,7.004520247438564e-05,0.0,0.3315
10tv.com,0.0001666590195842,0.0001859031460237,0.1897
11alive.com,0.0003820358025888,0.0004341058001,0.1956
12news.com,0.0001176821585008,8.853283830605024e-05,0.1167
12newsnow.com,8.942570766123214e-06,0.0001501532566037,0.1802
13abc.com,3.2002262766515445e-05,6.468097349395474e-05,0.1424
13newsnow.com,0.00054382378611,0.0001349342040169,0.1512
13wham.com,0.0002735257013555,5.7573787567105694e-05,0.2303
13wmaz.com,3.9471678249146505e-05,2.583331848018299e-05,0.059
1430wcmy.com,0.0,4.6512996903462355e-08,
1440wrok.com,0.0,1.1553828430820048e-05,
14news.com,3.527429610974927e-05,0.0,0.2809
21centurystate.com,2.2208371107921892e-08,0.0,
247sports.com,0.0,6.735081951621348e-06,0.4578
27east.com,0.0,1.2158497390565058e-05,-0.0899
3newsnow.com,1.851437871363755e-05,0.0002756825326468,0.3859
401kspecialistmag.com,3.588872771040178e-05,5.21317669294006e-05,
4029tv.com,3.1802387426544146e-05,9.3742293959238e-05,
406mtsports.com,0.0,3.05125259686713e-06,
41nbc.com,4.562339704604087e-05,7.442079504553977e-08,
5280.com,2.815281177447565e-05,0.0,-0.178
560theanswer.com,0.0,3.423356572094829e-06,
5newsonline.com,0.0,0.000276129057417,
6abc.com,0.0001437769945526,3.3489357770492894e-07,0.0414
6amcity.com,0.0,6.79461858765778e-05,
710keel.com,0.0,2.6679855023826e-05,
83degreesmedia.com,6.661030774302705e-05,0.0,0.1834
8newsnow.com,0.0001016625201416,9.501675007439288e-05,0.3027
945theanswer.com,0.0,1.3172480723060538e-05,
953mnc.com,5.981454618400296e-06,0.0004131935566922,
959watd.com,4.195901581323376e-05,0.0,
960thepatriot.com,0.0,1.8326120779964169e-06,
9and10news.com,2.7123823913141937e-05,0.0001751493411396,
9news.com,8.579093758990226e-05,7.964885589748893e-05,0.152
aa.com.tr,5.937037876184452e-06,0.0,-0.0954
aaf.org,0.0,2.697753820400816e-07,
abajournal.com,3.2905403191570934e-05,0.0,-0.181
abbyfinkenauer.com,0.0003501445816778,0.0,
abc10.com,0.0005579631157154,1.6223733319927667e-05,0.1524
abc10up.com,0.0,3.934069278094845e-05,
abc11.com,2.7975144805612277e-05,9.95564185721708e-05,0.1256
abc12.com,8.404387906274574e-05,0.0001319108592182,-0.5704
abc13.com,0.000247638143434,7.669062929442873e-05,0.0947
abc15.com,0.0001581828246113,5.202943833621298e-05,0.3036
abc17news.com,0.0007953928112302,0.000460497274543,
abc23.com,0.0,4.866189736040231e-05,
abc27.com,0.0002477343797088,0.000258705288777,0.1197
abc30.com,0.0003158770650583,0.0002949854263617,0.2113
abc3340.com,3.871659363147716e-05,0.0002821757470145,0.2458
abc4.com,9.8190611458492e-05,2.3516971234390563e-05,
abc57.com,0.0,0.000154069650943,
abc6.com,0.0001351083270302,0.0,-0.032
abc6onyourside.com,0.0002432260803739,0.0003496940133196,0.1325
abc7.com,0.0002394358517048,0.0,0.0957
abc7amarillo.com,0.0,1.1591038828342818e-05,
abc7chicago.com,0.0004628076483083,4.767582182604891e-05,0.087
abc7news.com,0.0005538619698508,4.055933329981917e-06,0.0002
abc7ny.com,0.0001764603140331,0.0002190110972196,-0.1432
abcactionnews.com,8.814502492734199e-05,0.000343619415924,0.3208
abccolumbia.com,1.2466298981913489e-05,0.0001285805286399,
abcnews4.com,0.0002850518459605,6.865318342951043e-05,0.1335
abcnewsradioonline.com,0.0001250405321279,0.0,-0.1461
abcstlouis.com,0.0,4.6512996903462355e-08,
aberdeennews.com,0.0,5.600164827176867e-06,0.4177
abigailspanberger.com,0.0003462211027821,0.0,
abovethelaw.com,0.0,8.279313448816298e-07,-0.2675
abqjournal.com,0.0003268628059663,8.111866659963833e-06,-0.1089
academyhealth.org,0.0,8.714675099832705e-05,
acadialending.com,0.0,2.0465718637523437e-07,
acainternational.org,0.0,0.0002444723117245,
acceptthisrose.com,0.0,3.7861579479418353e-06,
accountingtoday.com,6.752825374882116e-05,0.0,0.3654
acrofan.com,0.0,1.8605198761384943e-08,
actiac.org,3.240201344645804e-05,0.0,
actionnewsjax.com,0.0002831937455778,0.0001819588438863,0.3692
actionnewsnow.com,3.405283569881357e-07,0.0001623954773887,
adamschiff.com,0.0003948648382988,0.0,
adamsmith.org,0.000553765733576,0.0,
adamsmithworks.org,2.346684547070413e-06,0.0,
aderholtforcongress.org,0.0,0.0004085422570018,
adirondackdailyenterprise.com,0.0,0.0001068961694835,-0.1454
adirondackexplorer.org,2.3836984989169496e-05,0.0,
adn.com,3.78430643678989e-05,0.0004020118322366,-0.1124
adparchitects.com,5.1819532585151086e-08,0.0,
adrianoespaillat.com,0.0003518694318339,0.0,
advantagenews.com,0.0,0.0001085334269745,
advertisernewssouth.com,1.4990650497847276e-05,0.0,
advocate.com,7.439804321153833e-06,3.693131954134911e-06,-0.7671
advocateanddemocrat.com,0.0,4.527575118583025e-05,
af.mil,2.665004532950627e-07,0.0,0.4882
aflcio.org,5.1819532585151086e-08,1.7954016804736466e-06,-0.7818
afro.com,3.0055328899387624e-06,0.0,-0.6051
agnetwest.com,9.497780043821262e-06,4.580599935052973e-05,
agri-pulse.com,0.0003046174209066,0.0002430862244168,0.2313
agriculture.com,5.063508612606191e-05,0.0,0.7299
agrinews-pubs.com,0.0,5.970408282528427e-05,
agweek.com,2.5584043516326015e-05,9.302599380692472e-09,0.5145
aikenstandard.com,0.0,4.946192090714186e-05,0.1641
ainonline.com,7.051898105802131e-05,0.0,0.4385
aip.org,1.2481104562652102e-05,0.0,-0.7329
airforcemag.com,0.0,0.0001721632067384,
airforcetimes.com,4.286955902865856e-05,1.1200329654353734e-05,-0.108
airlinegeeks.com,9.20166842904897e-06,0.0,
ajc.com,0.0003836940276315,0.0010118902476348,-0.0813
ajot.com,0.0,0.0001140870788048,
akronnewsreporter.com,0.0,5.122011219009274e-05,
al-monitor.com,8.307411352436649e-05,0.0,-0.4134
al.com,1.935829681573858e-05,0.0005447416145345,0.0245
alabamanews.net,1.5642096050346317e-05,3.888486541129452e-06,
alaina2020.com,0.0,8.757467056983891e-05,
alamogordonews.com,3.227616601017981e-06,0.0,
alanlowenthal.com,8.944051324197076e-05,0.0,
