domain,cmpt_rank,is_home_district,category,counts
1011now.com,0.0,False,news,1
1011now.com,1.0,False,news,531
1011now.com,1.0,True,news,2
1011now.com,2.0,False,news,255
1011now.com,2.0,True,news,1
1011now.com,3.0,False,news,5234
1011now.com,3.0,True,news,8
1011now.com,4.0,False,news,25779
1011now.com,4.0,True,news,55
1011now.com,5.0,False,news,14254
1011now.com,5.0,True,news,39
1011now.com,6.0,False,news,24511
1011now.com,6.0,True,news,47
1011now.com,7.0,False,news,8940
1011now.com,7.0,True,news,27
1011now.com,8.0,False,news,4135
1011now.com,8.0,True,news,14
1011now.com,9.0,False,news,644
1011now.com,9.0,True,news,3
1011now.com,10.0,False,news,214
1011now.com,11.0,False,news,130
1011now.com,12.0,False,news,8
10news.com,1.0,False,news,1
10news.com,2.0,False,news,465
10news.com,2.0,True,news,1
10news.com,3.0,False,news,15
10news.com,4.0,False,news,51
10news.com,4.0,True,news,1
10news.com,5.0,False,news,1520
10news.com,5.0,True,news,4
10news.com,6.0,False,news,3129
10news.com,6.0,True,news,8
10news.com,7.0,False,news,3042
10news.com,7.0,True,news,6
10news.com,8.0,False,news,753
10news.com,8.0,True,news,1
10news.com,9.0,False,news,452
10news.com,9.0,True,news,1
10news.com,10.0,False,news,12
10tv.com,0.0,False,news,5
10tv.com,1.0,False,news,1324
10tv.com,1.0,True,news,3
10tv.com,2.0,False,news,317
10tv.com,2.0,True,news,1
10tv.com,3.0,False,news,2126
10tv.com,3.0,True,news,7
10tv.com,4.0,False,news,5346
10tv.com,4.0,True,news,11
10tv.com,5.0,False,news,14460
10tv.com,5.0,True,news,32
10tv.com,6.0,False,news,8481
10tv.com,6.0,True,news,23
10tv.com,7.0,False,news,5258
10tv.com,7.0,True,news,13
10tv.com,8.0,False,news,2176
10tv.com,8.0,True,news,3
10tv.com,9.0,False,news,1564
10tv.com,9.0,True,news,3
10tv.com,10.0,False,news,1315
10tv.com,10.0,True,news,4
10tv.com,11.0,False,news,25
11alive.com,1.0,False,news,528
11alive.com,1.0,True,news,3
11alive.com,2.0,False,news,2423
11alive.com,2.0,True,news,2
11alive.com,3.0,False,news,7831
11alive.com,3.0,True,news,16
11alive.com,4.0,False,news,13211
11alive.com,4.0,True,news,30
11alive.com,5.0,False,news,26107
11alive.com,5.0,True,news,48
11alive.com,6.0,False,news,24994
11alive.com,6.0,True,news,73
11alive.com,7.0,False,news,15264
11alive.com,7.0,True,news,42
11alive.com,8.0,False,news,6402
11alive.com,8.0,True,news,6
11alive.com,9.0,False,news,1250
11alive.com,9.0,True,news,5
11alive.com,10.0,False,news,34
11alive.com,10.0,True,news,1
11alive.com,12.0,False,news,2
12news.com,1.0,False,news,12
12news.com,2.0,False,news,1327
12news.com,2.0,True,news,4
12news.com,3.0,False,news,1837
12news.com,3.0,True,news,5
12news.com,4.0,False,news,251
12news.com,4.0,True,news,1
12news.com,5.0,False,news,3871
12news.com,5.0,True,news,14
12news.com,6.0,False,news,5148
12news.com,6.0,True,news,6
12news.com,7.0,False,news,5147
12news.com,7.0,True,news,12
12news.com,8.0,False,news,6817
12news.com,8.0,True,news,15
12news.com,9.0,False,news,53
12news.com,10.0,False,news,630
12news.com,10.0,True,news,2
12news.com,11.0,False,news,257
12news.com,11.0,True,news,1
12news.com,12.0,False,news,4
12newsnow.com,1.0,False,news,16
12newsnow.com,2.0,False,news,8
12newsnow.com,3.0,False,news,1919
12newsnow.com,3.0,True,news,3
12newsnow.com,4.0,False,news,1871
12newsnow.com,4.0,True,news,7
12newsnow.com,5.0,False,news,2742
12newsnow.com,5.0,True,news,5
12newsnow.com,6.0,False,news,2360
12newsnow.com,6.0,True,news,3
12newsnow.com,7.0,False,news,4372
12newsnow.com,7.0,True,news,9
12newsnow.com,8.0,False,news,2624
12newsnow.com,8.0,True,news,10
12newsnow.com,9.0,False,news,522
12newsnow.com,9.0,True,news,1
12newsnow.com,10.0,False,news,311
12newsnow.com,10.0,True,news,1
12newsnow.com,11.0,False,news,457
12newsnow.com,12.0,False,news,106
12newsnow.com,13.0,False,news,1
12newsnow.com,13.0,True,news,1
13abc.com,2.0,False,news,4
13abc.com,3.0,False,news,2931
13abc.com,3.0,True,news,10
13abc.com,4.0,False,news,2356
13abc.com,4.0,True,news,1
13abc.com,5.0,False,news,802
13abc.com,5.0,True,news,2
13abc.com,6.0,False,news,2737
13abc.com,6.0,True,news,8
13abc.com,7.0,False,news,1215
13abc.com,7.0,True,news,1
13abc.com,8.0,False,news,941
13abc.com,8.0,True,news,2
13abc.com,9.0,False,news,221
13abc.com,10.0,False,news,42
13abc.com,11.0,False,news,3
13newsnow.com,1.0,False,news,1007
13newsnow.com,1.0,True,news,1
13newsnow.com,2.0,False,news,3789
13newsnow.com,2.0,True,news,7
13newsnow.com,3.0,False,news,4281
13newsnow.com,3.0,True,news,6
13newsnow.com,4.0,False,news,13347
13newsnow.com,4.0,True,news,33
13newsnow.com,5.0,False,news,13789
13newsnow.com,5.0,True,news,24
13newsnow.com,6.0,False,news,29193
13newsnow.com,6.0,True,news,72
13newsnow.com,7.0,False,news,13880
13newsnow.com,7.0,True,news,37
13newsnow.com,8.0,False,news,5704
13newsnow.com,8.0,True,news,12
13newsnow.com,9.0,False,news,2294
13newsnow.com,9.0,True,news,6
13newsnow.com,10.0,False,news,455
13newsnow.com,10.0,True,news,2
13newsnow.com,11.0,False,news,27
13newsnow.com,12.0,False,news,1
13wham.com,1.0,False,news,131
13wham.com,2.0,False,news,37
13wham.com,3.0,False,news,1941
13wham.com,3.0,True,news,3
13wham.com,4.0,False,news,6089
13wham.com,4.0,True,news,13
13wham.com,5.0,False,news,8689
13wham.com,5.0,True,news,16
13wham.com,6.0,False,news,8607
13wham.com,6.0,True,news,21
13wham.com,7.0,False,news,15155
13wham.com,7.0,True,news,36
13wham.com,8.0,False,news,2297
13wham.com,8.0,True,news,5
13wham.com,9.0,False,news,92
13wham.com,10.0,False,news,6
13wmaz.com,0.0,False,news,2
13wmaz.com,1.0,False,news,583
13wmaz.com,1.0,True,news,1
13wmaz.com,2.0,False,news,13
13wmaz.com,3.0,False,news,116
13wmaz.com,3.0,True,news,2
13wmaz.com,4.0,False,news,1734
13wmaz.com,4.0,True,news,1
13wmaz.com,5.0,False,news,1717
13wmaz.com,5.0,True,news,3
13wmaz.com,6.0,False,news,2219
13wmaz.com,6.0,True,news,3
13wmaz.com,7.0,False,news,179
13wmaz.com,7.0,True,news,2
13wmaz.com,8.0,False,news,267
13wmaz.com,8.0,True,news,2
13wmaz.com,9.0,False,news,542
13wmaz.com,9.0,True,news,3
13wmaz.com,10.0,False,news,573
13wmaz.com,10.0,True,news,2
13wmaz.com,11.0,False,news,142
13wmaz.com,11.0,True,news,1
13wmaz.com,12.0,False,news,2
1430wcmy.com,6.0,False,news,5
1440wrok.com,3.0,False,news,54
1440wrok.com,4.0,False,news,755
1440wrok.com,4.0,True,news,2
1440wrok.com,5.0,False,news,430
1440wrok.com,5.0,True,news,1
14news.com,2.0,False,news,10
14news.com,3.0,False,news,124
14news.com,4.0,False,news,417
14news.com,4.0,True,news,2
14news.com,5.0,False,news,1410
14news.com,5.0,True,news,3
14news.com,6.0,False,news,679
14news.com,6.0,True,news,1
14news.com,7.0,False,news,1603
14news.com,7.0,True,news,4
14news.com,8.0,False,news,497
14news.com,8.0,True,news,1
14news.com,9.0,False,news,14
21centurystate.com,7.0,False,other_third_party,3
247sports.com,1.0,False,news,1
247sports.com,3.0,False,news,62
247sports.com,4.0,False,news,110
247sports.com,4.0,True,news,1
247sports.com,5.0,False,news,73
247sports.com,6.0,False,news,1
247sports.com,8.0,False,news,74
247sports.com,9.0,False,news,276
247sports.com,10.0,False,news,17
247sports.com,11.0,False,news,109
27east.com,4.0,False,news,8
27east.com,5.0,False,news,28
27east.com,6.0,False,news,1263
27east.com,6.0,True,news,3
27east.com,7.0,False,news,5
3newsnow.com,1.0,False,news,512
3newsnow.com,1.0,True,news,1
3newsnow.com,2.0,False,news,472
3newsnow.com,3.0,False,news,1803
3newsnow.com,3.0,True,news,2
3newsnow.com,4.0,False,news,4430
3newsnow.com,4.0,True,news,10
3newsnow.com,5.0,False,news,6888
3newsnow.com,5.0,True,news,11
3newsnow.com,6.0,False,news,10592
3newsnow.com,6.0,True,news,22
3newsnow.com,7.0,False,news,4151
3newsnow.com,7.0,True,news,14
3newsnow.com,8.0,False,news,1550
3newsnow.com,8.0,True,news,8
3newsnow.com,9.0,False,news,1089
3newsnow.com,9.0,True,news,2
3newsnow.com,10.0,False,news,371
3newsnow.com,11.0,False,news,161
3newsnow.com,12.0,False,news,45
3newsnow.com,12.0,True,news,2
401kspecialistmag.com,1.0,False,news,61
401kspecialistmag.com,2.0,False,news,2260
401kspecialistmag.com,2.0,True,news,3
401kspecialistmag.com,3.0,False,news,4193
401kspecialistmag.com,3.0,True,news,12
401kspecialistmag.com,4.0,False,news,3391
401kspecialistmag.com,4.0,True,news,8
401kspecialistmag.com,5.0,False,news,486
401kspecialistmag.com,5.0,True,news,1
401kspecialistmag.com,6.0,False,news,33
