domain,cmpt_rank,is_home_district,category,counts,classification
1011now.com,0.0,False,news,1,local
1011now.com,1.0,False,news,531,local
1011now.com,1.0,True,news,2,local
1011now.com,2.0,False,news,255,local
1011now.com,2.0,True,news,1,local
1011now.com,3.0,False,news,5234,local
1011now.com,3.0,True,news,8,local
1011now.com,4.0,False,news,25779,local
1011now.com,4.0,True,news,55,local
1011now.com,5.0,False,news,14254,local
1011now.com,5.0,True,news,39,local
1011now.com,6.0,False,news,24511,local
1011now.com,6.0,True,news,47,local
1011now.com,7.0,False,news,8940,local
1011now.com,7.0,True,news,27,local
1011now.com,8.0,False,news,4135,local
1011now.com,8.0,True,news,14,local
1011now.com,9.0,False,news,644,local
1011now.com,9.0,True,news,3,local
1011now.com,10.0,False,news,214,local
1011now.com,11.0,False,news,130,local
1011now.com,12.0,False,news,8,local
10news.com,1.0,False,news,1,local
10news.com,2.0,False,news,465,local
10news.com,2.0,True,news,1,local
10news.com,3.0,False,news,15,local
10news.com,4.0,False,news,51,local
10news.com,4.0,True,news,1,local
10news.com,5.0,False,news,1520,local
10news.com,5.0,True,news,4,local
10news.com,6.0,False,news,3129,local
10news.com,6.0,True,news,8,local
10news.com,7.0,False,news,3042,local
10news.com,7.0,True,news,6,local
10news.com,8.0,False,news,753,local
10news.com,8.0,True,news,1,local
10news.com,9.0,False,news,452,local
10news.com,9.0,True,news,1,local
10news.com,10.0,False,news,12,local
10tv.com,0.0,False,news,5,local
10tv.com,1.0,False,news,1324,local
10tv.com,1.0,True,news,3,local
10tv.com,2.0,False,news,317,local
10tv.com,2.0,True,news,1,local
10tv.com,3.0,False,news,2126,local
10tv.com,3.0,True,news,7,local
10tv.com,4.0,False,news,5346,local
10tv.com,4.0,True,news,11,local
10tv.com,5.0,False,news,14460,local
10tv.com,5.0,True,news,32,local
10tv.com,6.0,False,news,8481,local
10tv.com,6.0,True,news,23,local
10tv.com,7.0,False,news,5258,local
10tv.com,7.0,True,news,13,local
10tv.com,8.0,False,news,2176,local
10tv.com,8.0,True,news,3,local
10tv.com,9.0,False,news,1564,local
10tv.com,9.0,True,news,3,local
10tv.com,10.0,False,news,1315,local
10tv.com,10.0,True,news,4,local
10tv.com,11.0,False,news,25,local
11alive.com,1.0,False,news,528,local
11alive.com,1.0,True,news,3,local
11alive.com,2.0,False,news,2423,local
11alive.com,2.0,True,news,2,local
11alive.com,3.0,False,news,7831,local
11alive.com,3.0,True,news,16,local
11alive.com,4.0,False,news,13211,local
11alive.com,4.0,True,news,30,local
11alive.com,5.0,False,news,26107,local
11alive.com,5.0,True,news,48,local
11alive.com,6.0,False,news,24994,local
11alive.com,6.0,True,news,73,local
11alive.com,7.0,False,news,15264,local
11alive.com,7.0,True,news,42,local
11alive.com,8.0,False,news,6402,local
11alive.com,8.0,True,news,6,local
11alive.com,9.0,False,news,1250,local
11alive.com,9.0,True,news,5,local
11alive.com,10.0,False,news,34,local
11alive.com,10.0,True,news,1,local
11alive.com,12.0,False,news,2,local
12news.com,1.0,False,news,12,local
12news.com,2.0,False,news,1327,local
12news.com,2.0,True,news,4,local
12news.com,3.0,False,news,1837,local
12news.com,3.0,True,news,5,local
12news.com,4.0,False,news,251,local
12news.com,4.0,True,news,1,local
12news.com,5.0,False,news,3871,local
12news.com,5.0,True,news,14,local
12news.com,6.0,False,news,5148,local
12news.com,6.0,True,news,6,local
12news.com,7.0,False,news,5147,local
12news.com,7.0,True,news,12,local
12news.com,8.0,False,news,6817,local
12news.com,8.0,True,news,15,local
12news.com,9.0,False,news,53,local
12news.com,10.0,False,news,630,local
12news.com,10.0,True,news,2,local
12news.com,11.0,False,news,257,local
12news.com,11.0,True,news,1,local
12news.com,12.0,False,news,4,local
12newsnow.com,1.0,False,news,16,local
12newsnow.com,2.0,False,news,8,local
12newsnow.com,3.0,False,news,1919,local
12newsnow.com,3.0,True,news,3,local
12newsnow.com,4.0,False,news,1871,local
12newsnow.com,4.0,True,news,7,local
12newsnow.com,5.0,False,news,2742,local
12newsnow.com,5.0,True,news,5,local
12newsnow.com,6.0,False,news,2360,local
12newsnow.com,6.0,True,news,3,local
12newsnow.com,7.0,False,news,4372,local
12newsnow.com,7.0,True,news,9,local
12newsnow.com,8.0,False,news,2624,local
12newsnow.com,8.0,True,news,10,local
12newsnow.com,9.0,False,news,522,local
12newsnow.com,9.0,True,news,1,local
12newsnow.com,10.0,False,news,311,local
12newsnow.com,10.0,True,news,1,local
12newsnow.com,11.0,False,news,457,local
12newsnow.com,12.0,False,news,106,local
12newsnow.com,13.0,False,news,1,local
12newsnow.com,13.0,True,news,1,local
13abc.com,2.0,False,news,4,local
13abc.com,3.0,False,news,2931,local
13abc.com,3.0,True,news,10,local
