domain,party,counts
1011now.com,Democrat,5392
1011now.com,Republican,79440
10news.com,Democrat,9462
10tv.com,Democrat,22513
10tv.com,Republican,19984
11alive.com,Democrat,51607
11alive.com,Republican,46665
12news.com,Democrat,15897
12news.com,Republican,9517
12newsnow.com,Democrat,1208
12newsnow.com,Republican,16141
13abc.com,Democrat,4323
13abc.com,Republican,6953
13newsnow.com,Democrat,73462
13newsnow.com,Republican,14505
13wham.com,Democrat,36949
13wham.com,Republican,6189
13wmaz.com,Democrat,5332
13wmaz.com,Republican,2777
1430wcmy.com,Republican,5
1440wrok.com,Republican,1242
14news.com,Democrat,4765
21centurystate.com,Democrat,3
247sports.com,Republican,724
27east.com,Republican,1307
3newsnow.com,Democrat,2501
3newsnow.com,Republican,29635
401kspecialistmag.com,Democrat,4848
401kspecialistmag.com,Republican,5604
4029tv.com,Democrat,4296
4029tv.com,Republican,10077
406mtsports.com,Republican,328
41nbc.com,Democrat,6163
41nbc.com,Republican,8
5280.com,Democrat,3803
560theanswer.com,Republican,368
5newsonline.com,Republican,29683
6abc.com,Democrat,19422
6abc.com,Republican,36
6amcity.com,Republican,7304
710keel.com,Republican,2868
83degreesmedia.com,Democrat,8998
8newsnow.com,Democrat,13733
8newsnow.com,Republican,10214
945theanswer.com,Republican,1416
953mnc.com,Democrat,808
953mnc.com,Republican,44417
959watd.com,Democrat,5668
960thepatriot.com,Republican,197
9and10news.com,Democrat,3664
9and10news.com,Republican,18828
9news.com,Democrat,11589
9news.com,Republican,8562
aa.com.tr,Democrat,802
aaf.org,Republican,29
abajournal.com,Democrat,4445
abbyfinkenauer.com,Democrat,47299
abc10.com,Democrat,75372
abc10.com,Republican,1744
abc10up.com,Republican,4229
abc11.com,Democrat,3779
abc11.com,Republican,10702
abc12.com,Democrat,11353
abc12.com,Republican,14180
abc13.com,Democrat,33452
abc13.com,Republican,8244
abc15.com,Democrat,21368
abc15.com,Republican,5593
abc17news.com,Democrat,107445
abc17news.com,Republican,49502
abc23.com,Republican,5231
abc27.com,Democrat,33465
abc27.com,Republican,27810
abc30.com,Democrat,42670
abc30.com,Republican,31710
abc3340.com,Democrat,5230
abc3340.com,Republican,30333
abc4.com,Democrat,13264
abc4.com,Republican,2528
abc57.com,Republican,16562
abc6.com,Democrat,18251
abc6onyourside.com,Democrat,32856
abc6onyourside.com,Republican,37591
abc7.com,Democrat,32344
abc7amarillo.com,Republican,1246
abc7chicago.com,Democrat,62518
abc7chicago.com,Republican,5125
abc7news.com,Democrat,74818
abc7news.com,Republican,436
abc7ny.com,Democrat,23837
abc7ny.com,Republican,23543
abcactionnews.com,Democrat,11907
abcactionnews.com,Republican,36938
abccolumbia.com,Democrat,1684
abccolumbia.com,Republican,13822
abcnews4.com,Democrat,38506
abcnews4.com,Republican,7380
abcnewsradioonline.com,Democrat,16891
abcstlouis.com,Republican,5
aberdeennews.com,Republican,602
abigailspanberger.com,Democrat,46769
abovethelaw.com,Independent,4451
abovethelaw.com,Republican,89
abqjournal.com,Democrat,44154
abqjournal.com,Republican,872
academyhealth.org,Republican,9368
acadialending.com,Republican,22
acainternational.org,Republican,26280
acceptthisrose.com,Republican,407
accountingtoday.com,Democrat,9122
acrofan.com,Republican,2
actiac.org,Democrat,4377
actionnewsjax.com,Democrat,38255
actionnewsjax.com,Republican,19560
actionnewsnow.com,Democrat,46
actionnewsnow.com,Republican,17457
adamschiff.com,Democrat,53340
adamsmith.org,Democrat,74805
adamsmithworks.org,Democrat,317
aderholtforcongress.org,Republican,43917
adirondackdailyenterprise.com,Republican,11491
adirondackexplorer.org,Democrat,3220
adn.com,Democrat,5112
adn.com,Republican,43215
adparchitects.com,Democrat,7
adrianoespaillat.com,Democrat,47532
advantagenews.com,Republican,11667
advertisernewssouth.com,Democrat,2025
advocate.com,Democrat,1005
advocate.com,Republican,397
advocateanddemocrat.com,Republican,4867
af.mil,Democrat,36
