"q1","q2","q1_state","q2_state","q1_party","q2_party","same_state","same_party","group_cat"
"Julia Brownley","Maxine Waters","CA","CA","Democrat","Democrat",1,1,"same_state_same_party"
"Tony Cárdenas","Grace Napolitano","CA","CA","Democrat","Democrat",1,1,"same_state_same_party"
"Randy Weber","Pete Olson","TX","TX","Republican","Republican",1,1,"same_state_same_party"
"Josh Harder","Scott Peters","CA","CA","Democrat","Democrat",1,1,"same_state_same_party"
"Matt Cartwright","Conor Lamb","PA","PA","Democrat","Democrat",1,1,"same_state_same_party"
"Pete Aguilar","Juan Vargas","CA","CA","Democrat","Democrat",1,1,"same_state_same_party"
"Ted Lieu","Jimmy Gomez","CA","CA","Democrat","Democrat",1,1,"same_state_same_party"
"Dan Lipinski","Bill Foster","IL","IL","Democrat","Democrat",1,1,"same_state_same_party"
"Linda Sánchez","Mike Levin","CA","CA","Democrat","Democrat",1,1,"same_state_same_party"
"Jan Schakowsky","Bill Foster","IL","IL","Democrat","Democrat",1,1,"same_state_same_party"
"Norma Torres","Mike Levin","CA","CA","Democrat","Democrat",1,1,"same_state_same_party"
"Grace Napolitano","Scott Peters","CA","CA","Democrat","Democrat",1,1,"same_state_same_party"
"Frank Pallone","Mikie Sherrill","NJ","NJ","Democrat","Democrat",1,1,"same_state_same_party"
"John Garamendi","Jimmy Gomez","CA","CA","Democrat","Democrat",1,1,"same_state_same_party"
"Barbara Lee","Ted Lieu","CA","CA","Democrat","Democrat",1,1,"same_state_same_party"
"Betty McCollum","Ilhan Omar","MN","MN","Democrat","Democrat",1,1,"same_state_same_party"
"Jimmy Panetta","Katie Porter","CA","CA","Democrat","Democrat",1,1,"same_state_same_party"
"Mike Conaway","Kenny Marchant","TX","TX","Republican","Republican",1,1,"same_state_same_party"
"Josh Harder","Zoe Lofgren","CA","CA","Democrat","Democrat",1,1,"same_state_same_party"
"Doris Matsui","Ted Lieu","CA","CA","Democrat","Democrat",1,1,"same_state_same_party"
"Nancy Pelosi","Alan Lowenthal","CA","CA","Democrat","Democrat",1,1,"same_state_same_party"
"Jim Costa","Zoe Lofgren","CA","CA","Democrat","Democrat",1,1,"same_state_same_party"
"Barbara Lee","Jimmy Gomez","CA","CA","Democrat","Democrat",1,1,"same_state_same_party"
"Lois Frankel","Ted Deutch","FL","FL","Democrat","Democrat",1,1,"same_state_same_party"
"Donald Norcross","Tom Malinowski","NJ","NJ","Democrat","Democrat",1,1,"same_state_same_party"
"Bob Gibbs","Anthony Gonzalez","OH","OH","Republican","Republican",1,1,"same_state_same_party"
"Josh Gottheimer","Frank Pallone","NJ","NJ","Democrat","Democrat",1,1,"same_state_same_party"
"Adriano Espaillat","Antonio Delgado","NY","NY","Democrat","Democrat",1,1,"same_state_same_party"
"Maxine Waters","Susan Davis","CA","CA","Democrat","Democrat",1,1,"same_state_same_party"
"Jerry McNerney","Ro Khanna","CA","CA","Democrat","Democrat",1,1,"same_state_same_party"
"Dan Meuser","Glenn Thompson","PA","PA","Republican","Republican",1,1,"same_state_same_party"
"Robin Kelly","Dan Lipinski","IL","IL","Democrat","Democrat",1,1,"same_state_same_party"
"John Garamendi","Nanette Barragán","CA","CA","Democrat","Democrat",1,1,"same_state_same_party"
"Richard Hudson","Dan Bishop","NC","NC","Republican","Republican",1,1,"same_state_same_party"
"Eliot Engel","Anthony Brindisi","NY","NY","Democrat","Democrat",1,1,"same_state_same_party"
"Lizzie Pannill Fletcher","Veronica Escobar","TX","TX","Democrat","Democrat",1,1,"same_state_same_party"
"Tony Cárdenas","Gil Cisneros","CA","CA","Democrat","Democrat",1,1,"same_state_same_party"
"Barbara Lee","Grace Napolitano","CA","CA","Democrat","Democrat",1,1,"same_state_same_party"
"Grace Napolitano","Harley Rouda","CA","CA","Democrat","Democrat",1,1,"same_state_same_party"
"Ro Khanna","Grace Napolitano","CA","CA","Democrat","Democrat",1,1,"same_state_same_party"
