crawl_id,qry1,qry2,loc_id,q1_length,q2_length,j_similarity
20201206,Julia Brownley,Maxine Waters,MS-1,12,15,0.2631578947368421
20201008,Julia Brownley,Maxine Waters,TX-9,13,13,0.3888888888888889
20201123,Julia Brownley,Maxine Waters,CA-47,0,13,0.0
20201011,Julia Brownley,Maxine Waters,AR-3,13,14,0.3684210526315789
20200921,Julia Brownley,Maxine Waters,NY-22,11,0,0.0
20201217,Julia Brownley,Maxine Waters,MI-6,12,13,0.4375
20201207,Julia Brownley,Maxine Waters,NY-23,12,16,0.23809523809523808
20201010,Julia Brownley,Maxine Waters,SC-5,13,14,0.3684210526315789
20200910,Julia Brownley,Maxine Waters,PA-7,12,13,0.375
20201214,Julia Brownley,Maxine Waters,CA-52,12,16,0.3157894736842105
20201017,Tony Cárdenas,Grace Napolitano,WA-2,12,12,0.4
20201202,Tony Cárdenas,Grace Napolitano,UT-2,13,10,0.35294117647058826
20201014,Tony Cárdenas,Grace Napolitano,NY-11,12,13,0.375
20201128,Tony Cárdenas,Grace Napolitano,MI-8,12,12,0.4666666666666667
20201006,Tony Cárdenas,Grace Napolitano,MO-4,13,12,0.4
20201013,Tony Cárdenas,Grace Napolitano,CA-4,12,13,0.375
20201118,Tony Cárdenas,Grace Napolitano,NH-2,13,11,0.375
20201227,Tony Cárdenas,Grace Napolitano,AL-3,11,11,0.5
20200921,Tony Cárdenas,Grace Napolitano,GA-4,13,6,0.38461538461538464
20200911,Tony Cárdenas,Grace Napolitano,MO-4,13,12,0.375
20201210,Randy Weber,Pete Olson,WA-2,12,10,0.46153846153846156
20201130,Randy Weber,Pete Olson,NC-11,12,12,0.35714285714285715
20201201,Randy Weber,Pete Olson,NJ-11,12,12,0.35714285714285715
20201105,Randy Weber,Pete Olson,NC-9,15,12,0.29411764705882354
20201219,Randy Weber,Pete Olson,CO-7,12,0,0.0
20201107,Randy Weber,Pete Olson,CA-38,12,12,0.46153846153846156
20200909,Randy Weber,Pete Olson,OH-2,12,12,0.38461538461538464
20201103,Randy Weber,Pete Olson,IA-1,13,13,0.5
20201113,Randy Weber,Pete Olson,PA-8,12,12,0.46153846153846156
20201001,Randy Weber,Pete Olson,FL-10,13,12,0.3125
20201130,Josh Harder,Scott Peters,UT-4,13,12,0.4666666666666667
20201221,Josh Harder,Scott Peters,WI-6,15,0,0.0
20201220,Josh Harder,Scott Peters,FL-15,13,12,0.4666666666666667
20200914,Josh Harder,Scott Peters,NV-3,13,9,0.46153846153846156
20201101,Josh Harder,Scott Peters,CT-4,13,13,0.4375
20200907,Josh Harder,Scott Peters,PA-7,13,13,0.4375
20201202,Josh Harder,Scott Peters,IN-4,13,14,0.4
20201204,Josh Harder,Scott Peters,KY-6,12,15,0.3888888888888889
20201209,Josh Harder,Scott Peters,VA-4,15,13,0.35
20200901,Josh Harder,Scott Peters,MI-8,13,13,0.4375
20200920,Matt Cartwright,Conor Lamb,TX-32,12,12,0.4
20200902,Matt Cartwright,Conor Lamb,PA-9,13,11,0.42857142857142855
20201003,Matt Cartwright,Conor Lamb,NY-3,13,15,0.2777777777777778
20200921,Matt Cartwright,Conor Lamb,MI-9,12,12,0.4
20201216,Matt Cartwright,Conor Lamb,KY-3,12,12,0.4
20201219,Matt Cartwright,Conor Lamb,MD-5,13,12,0.29411764705882354
20201129,Matt Cartwright,Conor Lamb,IL-2,13,11,0.3125
20201023,Matt Cartwright,Conor Lamb,TN-2,11,15,0.35294117647058826
20201026,Matt Cartwright,Conor Lamb,OH-16,12,15,0.2777777777777778
20201101,Matt Cartwright,Conor Lamb,NV-4,12,13,0.29411764705882354
20201211,Pete Aguilar,Juan Vargas,OH-12,12,12,0.5
20201227,Pete Aguilar,Juan Vargas,NM-2,11,13,0.4666666666666667
20201202,Pete Aguilar,Juan Vargas,OH-13,12,13,0.4666666666666667
20201125,Pete Aguilar,Juan Vargas,FL-21,12,12,0.5
20201031,Pete Aguilar,Juan Vargas,FL-12,13,13,0.4375
20200907,Pete Aguilar,Juan Vargas,CO-7,13,13,0.4375
20201020,Pete Aguilar,Juan Vargas,CA-17,11,13,0.5
20201106,Pete Aguilar,Juan Vargas,HI-1,15,13,0.3888888888888889
20201103,Pete Aguilar,Juan Vargas,PA-4,13,12,0.4666666666666667
20200920,Pete Aguilar,Juan Vargas,WV-2,13,13,0.4375
20200912,Ted Lieu,Jimmy Gomez,TN-7,13,13,0.35294117647058826
20201108,Ted Lieu,Jimmy Gomez,TX-10,14,12,0.2777777777777778
20200921,Ted Lieu,Jimmy Gomez,OK-5,13,11,0.4
20201208,Ted Lieu,Jimmy Gomez,MD-4,12,11,0.3333333333333333
20201028,Ted Lieu,Jimmy Gomez,IL-16,14,12,0.2777777777777778
20200919,Ted Lieu,Jimmy Gomez,PA-2,15,10,0.35294117647058826
20200908,Ted Lieu,Jimmy Gomez,MO-1,13,11,0.42857142857142855
20201228,Ted Lieu,Jimmy Gomez,WA-3,12,12,0.4
20201029,Ted Lieu,Jimmy Gomez,MA-9,12,12,0.4
20201119,Ted Lieu,Jimmy Gomez,MD-8,12,13,0.375
20201008,Dan Lipinski,Bill Foster,VA-8,12,12,0.375
20201212,Dan Lipinski,Bill Foster,IL-10,13,12,0.3333333333333333
20201223,Dan Lipinski,Bill Foster,NY-22,12,13,0.2777777777777778
20201129,Dan Lipinski,Bill Foster,CA-5,13,13,0.3333333333333333
20201216,Dan Lipinski,Bill Foster,FL-17,12,11,0.4375
20200921,Dan Lipinski,Bill Foster,FL-6,11,13,0.29411764705882354
20201214,Dan Lipinski,Bill Foster,AZ-2,15,11,0.3
20201028,Dan Lipinski,Bill Foster,FL-12,12,13,0.5
20201228,Dan Lipinski,Bill Foster,GA-7,13,12,0.4117647058823529
20201112,Dan Lipinski,Bill Foster,WI-8,11,13,0.375
20201027,Linda Sánchez,Mike Levin,OH-13,13,13,0.4375
20201003,Linda Sánchez,Mike Levin,CO-6,13,13,0.5
20200914,Linda Sánchez,Mike Levin,CA-14,13,13,0.4117647058823529
20201219,Linda Sánchez,Mike Levin,CA-22,0,12,0.0
20201105,Linda Sánchez,Mike Levin,IL-12,13,15,0.47058823529411764
20200903,Linda Sánchez,Mike Levin,NY-15,13,13,0.4375
20201220,Linda Sánchez,Mike Levin,TX-20,12,12,0.5333333333333333
20200930,Linda Sánchez,Mike Levin,CA-19,13,13,0.4117647058823529
20201130,Linda Sánchez,Mike Levin,TX-12,13,13,0.4117647058823529
20201205,Linda Sánchez,Mike Levin,NY-19,13,12,0.4117647058823529
20201009,Jan Schakowsky,Bill Foster,NY-20,12,12,0.4
20201226,Jan Schakowsky,Bill Foster,PA-10,12,13,0.4375
20201207,Jan Schakowsky,Bill Foster,IL-10,13,11,0.4375
20201123,Jan Schakowsky,Bill Foster,GA-2,12,13,0.4666666666666667
20201117,Jan Schakowsky,Bill Foster,UT-1,12,13,0.4375
20201103,Jan Schakowsky,Bill Foster,MA-9,14,13,0.3888888888888889
20201011,Jan Schakowsky,Bill Foster,GA-14,12,14,0.35294117647058826
