domain,party,cmpt_rank,counts
1011now.com,Democrat,3.0,1170
1011now.com,Democrat,4.0,42
1011now.com,Democrat,5.0,4155
1011now.com,Democrat,6.0,10
1011now.com,Democrat,7.0,15
1011now.com,Republican,0.0,1
1011now.com,Republican,1.0,533
1011now.com,Republican,2.0,256
1011now.com,Republican,3.0,4072
1011now.com,Republican,4.0,25792
1011now.com,Republican,5.0,10138
1011now.com,Republican,6.0,24548
1011now.com,Republican,7.0,8952
1011now.com,Republican,8.0,4149
1011now.com,Republican,9.0,647
1011now.com,Republican,10.0,214
1011now.com,Republican,11.0,130
1011now.com,Republican,12.0,8
10news.com,Democrat,1.0,1
10news.com,Democrat,2.0,466
10news.com,Democrat,3.0,15
10news.com,Democrat,4.0,52
10news.com,Democrat,5.0,1524
10news.com,Democrat,6.0,3137
10news.com,Democrat,7.0,3048
10news.com,Democrat,8.0,754
10news.com,Democrat,9.0,453
10news.com,Democrat,10.0,12
10tv.com,Democrat,0.0,5
10tv.com,Democrat,1.0,1317
10tv.com,Democrat,2.0,305
10tv.com,Democrat,3.0,2130
10tv.com,Democrat,4.0,3643
10tv.com,Democrat,5.0,3472
10tv.com,Democrat,6.0,3536
10tv.com,Democrat,7.0,3920
10tv.com,Democrat,8.0,1274
10tv.com,Democrat,9.0,1567
10tv.com,Democrat,10.0,1319
10tv.com,Democrat,11.0,25
10tv.com,Republican,1.0,10
10tv.com,Republican,2.0,13
10tv.com,Republican,3.0,3
10tv.com,Republican,4.0,1714
10tv.com,Republican,5.0,11020
10tv.com,Republican,6.0,4968
10tv.com,Republican,7.0,1351
10tv.com,Republican,8.0,905
11alive.com,Democrat,1.0,110
11alive.com,Democrat,2.0,2396
11alive.com,Democrat,3.0,4165
11alive.com,Democrat,4.0,5899
11alive.com,Democrat,5.0,14680
11alive.com,Democrat,6.0,11125
11alive.com,Democrat,7.0,9441
11alive.com,Democrat,8.0,3610
11alive.com,Democrat,9.0,179
11alive.com,Democrat,12.0,2
11alive.com,Republican,1.0,421
11alive.com,Republican,2.0,29
11alive.com,Republican,3.0,3682
11alive.com,Republican,4.0,7342
11alive.com,Republican,5.0,11475
11alive.com,Republican,6.0,13942
11alive.com,Republican,7.0,5865
11alive.com,Republican,8.0,2798
11alive.com,Republican,9.0,1076
11alive.com,Republican,10.0,35
12news.com,Democrat,2.0,490
12news.com,Democrat,3.0,1466
12news.com,Democrat,4.0,105
12news.com,Democrat,5.0,1700
12news.com,Democrat,6.0,2810
12news.com,Democrat,7.0,3041
12news.com,Democrat,8.0,6244
12news.com,Democrat,9.0,41
12news.com,Republican,1.0,12
12news.com,Republican,2.0,841
12news.com,Republican,3.0,376
12news.com,Republican,4.0,147
12news.com,Republican,5.0,2185
12news.com,Republican,6.0,2344
12news.com,Republican,7.0,2118
12news.com,Republican,8.0,588
12news.com,Republican,9.0,12
12news.com,Republican,10.0,632
12news.com,Republican,11.0,258
12news.com,Republican,12.0,4
12newsnow.com,Democrat,3.0,29
12newsnow.com,Democrat,4.0,1179
12newsnow.com,Republican,1.0,16
12newsnow.com,Republican,2.0,8
12newsnow.com,Republican,3.0,1893
12newsnow.com,Republican,4.0,699
12newsnow.com,Republican,5.0,2747
12newsnow.com,Republican,6.0,2363
12newsnow.com,Republican,7.0,4381
12newsnow.com,Republican,8.0,2634
12newsnow.com,Republican,9.0,523
12newsnow.com,Republican,10.0,312
12newsnow.com,Republican,11.0,457
12newsnow.com,Republican,12.0,106
12newsnow.com,Republican,13.0,2
13abc.com,Democrat,3.0,125
13abc.com,Democrat,4.0,271
13abc.com,Democrat,5.0,71
13abc.com,Democrat,6.0,2312
13abc.com,Democrat,7.0,680
13abc.com,Democrat,8.0,737
13abc.com,Democrat,9.0,86
13abc.com,Democrat,10.0,41
13abc.com,Republican,2.0,4
13abc.com,Republican,3.0,2816
13abc.com,Republican,4.0,2086
13abc.com,Republican,5.0,733
13abc.com,Republican,6.0,433
13abc.com,Republican,7.0,536
13abc.com,Republican,8.0,206
13abc.com,Republican,9.0,135
13abc.com,Republican,10.0,1
13abc.com,Republican,11.0,3
13newsnow.com,Democrat,1.0,976
13newsnow.com,Democrat,2.0,2139
13newsnow.com,Democrat,3.0,3946
13newsnow.com,Democrat,4.0,12994
13newsnow.com,Democrat,5.0,9912
13newsnow.com,Democrat,6.0,23102
13newsnow.com,Democrat,7.0,12041
13newsnow.com,Democrat,8.0,5571
13newsnow.com,Democrat,9.0,2296
13newsnow.com,Democrat,10.0,457
13newsnow.com,Democrat,11.0,27
13newsnow.com,Democrat,12.0,1
13newsnow.com,Republican,1.0,32
13newsnow.com,Republican,2.0,1657
13newsnow.com,Republican,3.0,341
13newsnow.com,Republican,4.0,386
13newsnow.com,Republican,5.0,3901
13newsnow.com,Republican,6.0,6163
13newsnow.com,Republican,7.0,1876
13newsnow.com,Republican,8.0,145
13newsnow.com,Republican,9.0,4
13wham.com,Democrat,1.0,20
13wham.com,Democrat,2.0,17
13wham.com,Democrat,3.0,934
13wham.com,Democrat,4.0,5101
13wham.com,Democrat,5.0,7122
13wham.com,Democrat,6.0,6298
13wham.com,Democrat,7.0,15078
13wham.com,Democrat,8.0,2290
13wham.com,Democrat,9.0,83
13wham.com,Democrat,10.0,6
13wham.com,Republican,1.0,111
13wham.com,Republican,2.0,20
13wham.com,Republican,3.0,1010
13wham.com,Republican,4.0,1001
13wham.com,Republican,5.0,1583
13wham.com,Republican,6.0,2330
13wham.com,Republican,7.0,113
13wham.com,Republican,8.0,12
13wham.com,Republican,9.0,9
13wmaz.com,Democrat,2.0,9
13wmaz.com,Democrat,3.0,35
13wmaz.com,Democrat,4.0,1662
13wmaz.com,Democrat,5.0,1584
13wmaz.com,Democrat,6.0,1382
13wmaz.com,Democrat,7.0,168
13wmaz.com,Democrat,8.0,48
13wmaz.com,Democrat,9.0,103
13wmaz.com,Democrat,10.0,258
13wmaz.com,Democrat,11.0,83
13wmaz.com,Republican,0.0,2
13wmaz.com,Republican,1.0,584
13wmaz.com,Republican,2.0,4
13wmaz.com,Republican,3.0,83
13wmaz.com,Republican,4.0,73
13wmaz.com,Republican,5.0,136
13wmaz.com,Republican,6.0,840
13wmaz.com,Republican,7.0,13
13wmaz.com,Republican,8.0,221
13wmaz.com,Republican,9.0,442
13wmaz.com,Republican,10.0,317
13wmaz.com,Republican,11.0,60
13wmaz.com,Republican,12.0,2
1430wcmy.com,Republican,6.0,5
1440wrok.com,Republican,3.0,54
1440wrok.com,Republican,4.0,757
1440wrok.com,Republican,5.0,431
14news.com,Democrat,2.0,10
14news.com,Democrat,3.0,124
14news.com,Democrat,4.0,419
14news.com,Democrat,5.0,1413
14news.com,Democrat,6.0,680
14news.com,Democrat,7.0,1607
14news.com,Democrat,8.0,498
14news.com,Democrat,9.0,14
21centurystate.com,Democrat,7.0,3
247sports.com,Republican,1.0,1
247sports.com,Republican,3.0,62
247sports.com,Republican,4.0,111
247sports.com,Republican,5.0,73
247sports.com,Republican,6.0,1
247sports.com,Republican,8.0,74
247sports.com,Republican,9.0,276
247sports.com,Republican,10.0,17
247sports.com,Republican,11.0,109
27east.com,Republican,4.0,8
27east.com,Republican,5.0,28
27east.com,Republican,6.0,1266
27east.com,Republican,7.0,5
3newsnow.com,Democrat,2.0,14
3newsnow.com,Democrat,3.0,336
3newsnow.com,Democrat,4.0,791
3newsnow.com,Democrat,5.0,491
3newsnow.com,Democrat,6.0,45
3newsnow.com,Democrat,7.0,395
3newsnow.com,Democrat,9.0,425
3newsnow.com,Democrat,10.0,4
3newsnow.com,Republican,1.0,513
3newsnow.com,Republican,2.0,458
3newsnow.com,Republican,3.0,1469
3newsnow.com,Republican,4.0,3649
3newsnow.com,Republican,5.0,6408
3newsnow.com,Republican,6.0,10569
3newsnow.com,Republican,7.0,3770
3newsnow.com,Republican,8.0,1558
3newsnow.com,Republican,9.0,666
3newsnow.com,Republican,10.0,367
3newsnow.com,Republican,11.0,161
3newsnow.com,Republican,12.0,47
401kspecialistmag.com,Democrat,2.0,675
401kspecialistmag.com,Democrat,3.0,681
401kspecialistmag.com,Democrat,4.0,3259
401kspecialistmag.com,Democrat,5.0,220
401kspecialistmag.com,Democrat,6.0,9
401kspecialistmag.com,Democrat,7.0,2
401kspecialistmag.com,Democrat,8.0,2
401kspecialistmag.com,Republican,1.0,61
401kspecialistmag.com,Republican,2.0,1588
401kspecialistmag.com,Republican,3.0,3524
401kspecialistmag.com,Republican,4.0,140
401kspecialistmag.com,Republican,5.0,267
401kspecialistmag.com,Republican,6.0,24
4029tv.com,Democrat,2.0,1
4029tv.com,Democrat,3.0,621
4029tv.com,Democrat,4.0,11
4029tv.com,Democrat,5.0,528
4029tv.com,Democrat,6.0,1856
4029tv.com,Democrat,7.0,145
4029tv.com,Democrat,8.0,1120
4029tv.com,Democrat,9.0,14
4029tv.com,Republican,1.0,1
4029tv.com,Republican,2.0,8
4029tv.com,Republican,3.0,52
4029tv.com,Republican,4.0,1305
4029tv.com,Republican,5.0,2486
4029tv.com,Republican,6.0,2947
4029tv.com,Republican,7.0,1878
4029tv.com,Republican,8.0,523
4029tv.com,Republican,9.0,795
4029tv.com,Republican,10.0,81
4029tv.com,Republican,11.0,1
406mtsports.com,Republican,3.0,7
406mtsports.com,Republican,4.0,102
406mtsports.com,Republican,5.0,218
406mtsports.com,Republican,6.0,1
41nbc.com,Democrat,1.0,47
41nbc.com,Democrat,2.0,2
41nbc.com,Democrat,3.0,14
41nbc.com,Democrat,4.0,433
41nbc.com,Democrat,5.0,2350
41nbc.com,Democrat,6.0,2616
41nbc.com,Democrat,7.0,481
41nbc.com,Democrat,8.0,220
41nbc.com,Republican,7.0,7
41nbc.com,Republican,8.0,1
5280.com,Democrat,3.0,10
5280.com,Democrat,4.0,226
5280.com,Democrat,5.0,543
5280.com,Democrat,6.0,89
5280.com,Democrat,7.0,10
5280.com,Democrat,8.0,227
5280.com,Democrat,9.0,312
5280.com,Democrat,10.0,135
