qry,qry_clean,Twitter,state,district,party,relevance_score
Don Young,Don Young,DonYoungAK,AK,0.0,Republican,6.0
Don Young,Don Young,repdonyoung,AK,0.0,Republican,6.0
Bradley Byrne,Bradley Byrne,bradleybyrne,AL,1.0,Republican,5.0
Bradley Byrne,Bradley Byrne,RepByrne,AL,1.0,Republican,5.0
Martha Roby,Martha Roby,RepMarthaRoby,AL,2.0,Republican,6.0
Mike Rogers,Mike Rogers,RepMikeRogers,AL,3.0,Republican,6.0
Mike Rogers,Mike Rogers,RepMikeRogersAL,AL,3.0,Republican,6.0
Robert Aderholt,Robert Aderholt,Robert_Aderholt,AL,4.0,Republican,5.0
Mo Brooks,Mo Brooks,RepMoBrooks,AL,5.0,Republican,6.0
Gary Palmer,Gary Palmer,RepGaryPalmer,AL,6.0,Republican,5.0
Gary Palmer,Gary Palmer,USRepGaryPalmer,AL,6.0,Republican,5.0
Terri Sewell,Terri Sewell,RepTerriSewell,AL,7.0,Democrat,6.0
Rick Crawford,Rick Crawford,RepRickCrawford,AR,1.0,Republican,5.0
French Hill,French Hill,RepFrenchHill,AR,2.0,Republican,6.0
Steve Womack,Steve Womack,rep_stevewomack,AR,3.0,Republican,6.0
Bruce Westerman,Bruce Westerman,RepWesterman,AR,4.0,Republican,6.0
Amata Coleman Radewagen,Amata Coleman Radewagen,RepAmata,AS,0.0,Republican,6.0
Tom O'Halleran,Tom O'Halleran,RepOHalleran,AZ,1.0,Democrat,6.0
Ann Kirkpatrick,Ann Kirkpatrick,RepKirkpatrick,AZ,2.0,Democrat,6.0
Raúl Grijalva,Raul Grijalva,RepRaulGrijalva,AZ,3.0,Democrat,6.0
Raúl Grijalva,Raul Grijalva,RepRaulGrijalva,AZ,3.0,Democrat,6.0
Paul Gosar,Paul Gosar,DrPaulGosar,AZ,4.0,Republican,6.0
Paul Gosar,Paul Gosar,RepGosar,AZ,4.0,Republican,6.0
Andy Biggs,Andy Biggs,RepAndyBiggs,AZ,5.0,Republican,6.0
Andy Biggs,Andy Biggs,RepAndyBiggsAZ,AZ,5.0,Republican,6.0
David Schweikert,David Schweikert,RepDavid,AZ,6.0,Republican,6.0
Ruben Gallego,Ruben Gallego,RepRubenGallego,AZ,7.0,Democrat,5.0
Ruben Gallego,Ruben Gallego,RubenGallego,AZ,7.0,Democrat,5.0
Debbie Lesko,Debbie Lesko,DebbieLesko,AZ,8.0,Republican,6.0
Debbie Lesko,Debbie Lesko,RepDLesko,AZ,8.0,Republican,6.0
Greg Stanton,Greg Stanton,Gregstantonaz,AZ,9.0,Democrat,6.0
Greg Stanton,Greg Stanton,RepGregStanton,AZ,9.0,Democrat,6.0
Doug LaMalfa,Doug LaMalfa,RepLaMalfa,CA,1.0,Republican,6.0
Jared Huffman,Jared Huffman,RepHuffman,CA,2.0,Democrat,6.0
Jared Huffman,Jared Huffman,JaredHuffman,CA,2.0,Democrat,6.0
John Garamendi,John Garamendi,RepGaramendi,CA,3.0,Democrat,6.0
Tom McClintock,Tom McClintock,RepMcClintock,CA,4.0,Republican,6.0
Tom McClintock,Tom McClintock,Tommcclintock,CA,4.0,Republican,6.0
Mike Thompson,Mike Thompson,RepThompson,CA,5.0,Democrat,4.0
Doris Matsui,Doris Matsui,DorisMatsui,CA,6.0,Democrat,6.0
Ami Bera,Ami Bera,RepBera,CA,7.0,Democrat,6.0
Paul Cook,Paul Cook,RepPaulCook,CA,8.0,Republican,4.0
Jerry McNerney,Jerry McNerney,RepMcNerney,CA,9.0,Democrat,6.0
Josh Harder,Josh Harder,RepJoshHarder,CA,10.0,Democrat,6.0
Mark DeSaulnier,Mark DeSaulnier,RepDeSaulnier,CA,11.0,Democrat,6.0
Nancy Pelosi,Nancy Pelosi,SpeakerPelosi,CA,12.0,Democrat,6.0
Barbara Lee,Barbara Lee,RepBarbaraLee,CA,13.0,Democrat,6.0
Jackie Speier,Jackie Speier,RepSpeier,CA,14.0,Democrat,6.0
Eric Swalwell,Eric Swalwell,ericswalwell,CA,15.0,Democrat,6.0
Eric Swalwell,Eric Swalwell,RepSwalwell,CA,15.0,Democrat,6.0
Jim Costa,Jim Costa,RepJimCosta,CA,16.0,Democrat,6.0
Ro Khanna,Ro Khanna,RepRoKhanna,CA,17.0,Democrat,6.0
Ro Khanna,Ro Khanna,RoKhanna,CA,17.0,Democrat,6.0
Anna Eshoo,Anna Eshoo,RepAnnaEshoo,CA,18.0,Democrat,6.0
Zoe Lofgren,Zoe Lofgren,RepZoeLofgren,CA,19.0,Democrat,6.0
Jimmy Panetta,Jimmy Panetta,RepJimmyPanetta,CA,20.0,Democrat,6.0
TJ Cox,TJ Cox,RepTjCox,CA,21.0,Democrat,6.0
TJ Cox,TJ Cox,TJCoxCongress,CA,21.0,Democrat,6.0
Devin Nunes,Devin Nunes,RepDevinNunes,CA,22.0,Republican,6.0
Devin Nunes,Devin Nunes,DevinNunes,CA,22.0,Republican,6.0
Kevin McCarthy,Kevin McCarthy,GOPLeader,CA,23.0,Republican,6.0
Salud Carbajal,Salud Carbajal,RepCarbajal,CA,24.0,Democrat,6.0
Julia Brownley,Julia Brownley,JuliaBrownley26,CA,26.0,Democrat,6.0
Julia Brownley,Julia Brownley,RepBrownley,CA,26.0,Democrat,6.0
Judy Chu,Judy Chu,RepJudyChu,CA,27.0,Democrat,6.0
Adam Schiff,Adam Schiff,RepAdamSchiff,CA,28.0,Democrat,5.0
Tony Cárdenas,Tony Cardenas,RepCardenas,CA,29.0,Democrat,6.0
Brad Sherman,Brad Sherman,BradSherman,CA,30.0,Democrat,6.0
Pete Aguilar,Pete Aguilar,aguilarpete,CA,31.0,Democrat,6.0
Pete Aguilar,Pete Aguilar,PeteAguilar,CA,31.0,Democrat,6.0
Pete Aguilar,Pete Aguilar,RepPeteAguilar,CA,31.0,Democrat,6.0
Grace Napolitano,Grace Napolitano,gracenapolitano,CA,32.0,Democrat,6.0
Ted Lieu,Ted Lieu,RepTedLieu,CA,33.0,Democrat,6.0
Ted Lieu,Ted Lieu,tedlieu,CA,33.0,Democrat,6.0
Jimmy Gomez,Jimmy Gomez,JimmyGomezCA,CA,34.0,Democrat,6.0
Jimmy Gomez,Jimmy Gomez,RepJimmyGomez,CA,34.0,Democrat,6.0
Norma Torres,Norma Torres,NormaJTorres,CA,35.0,Democrat,5.0
Raul Ruiz,Raul Ruiz,CongressmanRuiz,CA,36.0,Democrat,5.0
Raul Ruiz,Raul Ruiz,RepRaulRuizMD,CA,36.0,Democrat,5.0
Karen Bass,Karen Bass,RepKarenBass,CA,37.0,Democrat,6.0
Linda Sánchez,Linda Sanchez,RepLindaSanchez,CA,38.0,Democrat,6.0
Gil Cisneros,Gil Cisneros,RepGilCisneros,CA,39.0,Democrat,6.0
Lucille Roybal-Allard,Lucille Roybal-Allard,RepRoybalAllard,CA,40.0,Democrat,6.0
Mark Takano,Mark Takano,RepMarkTakano,CA,41.0,Democrat,6.0
Ken Calvert,Ken Calvert,KenCalvert,CA,42.0,Republican,6.0
Maxine Waters,Maxine Waters,RepMaxineWaters,CA,43.0,Democrat,6.0
Nanette Barragán,Nanette Barragan,RepBarragan,CA,44.0,Democrat,6.0
Katie Porter,Katie Porter,katieporteroc,CA,45.0,Democrat,5.0
Katie Porter,Katie Porter,RepKatiePorter,CA,45.0,Democrat,5.0
Lou Correa,Lou Correa,RepLouCorrea,CA,46.0,Democrat,6.0
Alan Lowenthal,Alan Lowenthal,RepLowenthal,CA,47.0,Democrat,6.0
Harley Rouda,Harley Rouda,HarleyRouda,CA,48.0,Democrat,6.0
Harley Rouda,Harley Rouda,RepHarley,CA,48.0,Democrat,6.0
Mike Levin,Mike Levin,MikeLevin,CA,49.0,Democrat,6.0
Mike Levin,Mike Levin,RepMikeLevin,CA,49.0,Democrat,6.0
Duncan D. Hunter,Duncan D. Hunter,Rep_Hunter,CA,50.0,Republican,6.0
Juan Vargas,Juan Vargas,RepJuanVargas,CA,51.0,Democrat,6.0
Scott Peters,Scott Peters,RepScottPeters,CA,52.0,Democrat,4.0
Scott Peters,Scott Peters,ScottPetersSD,CA,52.0,Democrat,4.0
Susan Davis,Susan Davis,RepSusanDavis,CA,53.0,Democrat,5.0
Diana DeGette,Diana DeGette,RepDianaDeGette,CO,1.0,Democrat,6.0
Joe Neguse,Joe Neguse,JoeNeguse,CO,2.0,Democrat,6.0
Joe Neguse,Joe Neguse,RepJoeNeguse,CO,2.0,Democrat,6.0
Scott Tipton,Scott Tipton,RepTipton,CO,3.0,Republican,5.0
Ken Buck,Ken Buck,RepKenBuck,CO,4.0,Republican,6.0
Doug Lamborn,Doug Lamborn,RepDLamborn,CO,5.0,Republican,6.0
Jason Crow,Jason Crow,RepJasonCrow,CO,6.0,Democrat,6.0
