"qry","qry_clean","governor","congress","candidate","state","district","party","chamber","date_started_position","full_term","relevance_score","in_data","house_analysis_include"
"Don Young","Don Young",FALSE,TRUE,FALSE,"AK",0,"Republican","Rep","5-Dec-17",1,6,1,1
"Bradley Byrne","Bradley Byrne",FALSE,TRUE,FALSE,"AL",1,"Republican","Rep","8-Jan-14",1,5,1,1
"Martha Roby","Martha Roby",FALSE,TRUE,FALSE,"AL",2,"Republican","Rep","3-Jan-11",1,6,1,1
"Mike Rogers","Mike Rogers",FALSE,TRUE,FALSE,"AL",3,"Republican","Rep","3-Jan-03",1,6,1,1
"Robert Aderholt","Robert Aderholt",FALSE,TRUE,FALSE,"AL",4,"Republican","Rep","3-Jan-97",1,5,1,1
"Mo Brooks","Mo Brooks",FALSE,TRUE,FALSE,"AL",5,"Republican","Rep","3-Jan-11",1,6,1,1
"Gary Palmer","Gary Palmer",FALSE,TRUE,FALSE,"AL",6,"Republican","Rep","3-Jan-15",1,5,1,1
"Terri Sewell","Terri Sewell",FALSE,TRUE,FALSE,"AL",7,"Democrat","Rep","3-Jan-11",1,6,1,1
"Rick Crawford","Rick Crawford",FALSE,TRUE,FALSE,"AR",1,"Republican","Rep","3-Jan-11",1,5,1,1
"French Hill","French Hill",FALSE,TRUE,FALSE,"AR",2,"Republican","Rep","3-Jan-15",1,6,1,1
"Steve Womack","Steve Womack",FALSE,TRUE,FALSE,"AR",3,"Republican","Rep","3-Jan-11",1,6,1,1
"Bruce Westerman","Bruce Westerman",FALSE,TRUE,FALSE,"AR",4,"Republican","Rep","3-Jan-15",1,6,1,1
"Amata Coleman Radewagen","Amata Coleman Radewagen",FALSE,TRUE,FALSE,"AS",0,"Republican","Rep","3-Jan-15",1,6,1,0
"Tom O'Halleran","Tom O'Halleran",FALSE,TRUE,FALSE,"AZ",1,"Democrat","Rep","3-Jan-17",1,6,1,1
"Ann Kirkpatrick","Ann Kirkpatrick",FALSE,TRUE,FALSE,"AZ",2,"Democrat","Rep","3-Jan-19",1,6,1,1
"Raúl Grijalva","Raul Grijalva",FALSE,TRUE,FALSE,"AZ",3,"Democrat","Rep","3-Jan-03",1,6,1,1
"Paul Gosar","Paul Gosar",FALSE,TRUE,FALSE,"AZ",4,"Republican","Rep","3-Jan-11",1,6,1,1
"Andy Biggs","Andy Biggs",FALSE,TRUE,FALSE,"AZ",5,"Republican","Rep","3-Jan-17",1,6,1,1
"David Schweikert","David Schweikert",FALSE,TRUE,FALSE,"AZ",6,"Republican","Rep","3-Jan-13",1,6,1,1
"Ruben Gallego","Ruben Gallego",FALSE,TRUE,FALSE,"AZ",7,"Democrat","Rep","3-Jan-15",1,5,1,1
"Debbie Lesko","Debbie Lesko",FALSE,TRUE,FALSE,"AZ",8,"Republican","Rep","7-May-18",1,6,1,1
"Greg Stanton","Greg Stanton",FALSE,TRUE,FALSE,"AZ",9,"Democrat","Rep","3-Jan-19",1,6,1,1
"Doug LaMalfa","Doug LaMalfa",FALSE,TRUE,FALSE,"CA",1,"Republican","Rep","3-Jan-13",1,6,1,1
"Jared Huffman","Jared Huffman",FALSE,TRUE,FALSE,"CA",2,"Democrat","Rep","3-Jan-13",1,6,1,1
"John Garamendi","John Garamendi",FALSE,TRUE,FALSE,"CA",3,"Democrat","Rep","3-Nov-09",1,6,1,1
"Tom McClintock","Tom McClintock",FALSE,TRUE,FALSE,"CA",4,"Republican","Rep","3-Jan-09",1,6,1,1
"Mike Thompson","Mike Thompson",FALSE,TRUE,FALSE,"CA",5,"Democrat","Rep","3-Jan-99",1,4,1,1
"Doris Matsui","Doris Matsui",FALSE,TRUE,FALSE,"CA",6,"Democrat","Rep","10-Mar-05",1,6,1,1
"Ami Bera","Ami Bera",FALSE,TRUE,FALSE,"CA",7,"Democrat","Rep","3-Jan-13",1,6,1,1
"Paul Cook","Paul Cook",FALSE,TRUE,FALSE,"CA",8,"Republican","Rep","3-Jan-13",0,4,1,1
"Jerry McNerney","Jerry McNerney",FALSE,TRUE,FALSE,"CA",9,"Democrat","Rep","3-Jan-07",1,6,1,1
"Josh Harder","Josh Harder",FALSE,TRUE,FALSE,"CA",10,"Democrat","Rep","3-Jan-19",1,6,1,1
